,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.left_CO2_vd_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled,feature_importance.left_CO2_vd_fd1_scaled
78,78,0.9272727272727272,0.9297295463028945,0.9000601443464314,0.9696271050521251,2.0301427864666364,1.6143655286736016,0.8565321415187748,0.09180389563336878,1.6364798925739628,0.07636363636363634,0.0767272727272727,0.06363636363636363,0.025818181818181796
79,79,0.9163636363636364,0.9155611285266458,0.8666823603264282,0.9701035781544256,2.154426767527003,0.8616964877278402,0.11576418013344522,0.8148046271545739,2.415118656702724,0.10945454545454547,0.09490909090909093,0.04472727272727275,0.04000000000000002
80,80,0.9381818181818182,0.936489589297014,0.888958827014218,0.9586789099526066,2.4944968435398183,1.8920155958840936,0.6041995722807918,0.17668139075623024,0.8618713640284996,0.12509090909090914,0.08909090909090915,0.07490909090909097,0.0345454545454546
81,81,0.9090909090909091,0.9099856220003645,0.8681818181818182,0.9637190082644628,2.27224271853173,2.0500754620648243,0.8161421377231095,0.017735850713216136,1.0960037471661708,0.09890909090909086,0.0687272727272727,0.0607272727272727,0.04145454545454543
82,82,0.9454545454545454,0.9447731216152269,0.8948889290229366,0.9729095177894167,2.4261510823494743,0.9361327195383107,0.45471322785246837,0.2331391421211565,2.1339597610799923,0.13054545454545452,0.08945454545454543,0.06472727272727272,0.02981818181818179
83,83,0.9018181818181819,0.9040728583500094,0.8673720890702024,0.9524052354241033,2.246053468311617,2.1411322112108646,0.4265103047562572,-0.13744593975186337,1.6343484982053547,0.11600000000000003,0.09054545454545457,0.08872727272727277,0.03200000000000004
84,84,0.92,0.9179269274102688,0.860694040140953,0.9510494867473572,2.786549258498236,1.366880389660253,0.0015725315369574996,-0.01372432785484897,1.9313153944807393,0.12254545454545458,0.11563636363636368,0.07600000000000004,0.037818181818181876
85,85,0.92,0.9223441090853378,0.9098988910632746,0.9646118721461188,1.8947941623394995,2.0971924337428716,0.13843176484463296,0.5171710286549688,1.3398367871352173,0.13309090909090915,0.11127272727272733,0.07709090909090913,0.07127272727272732
86,86,0.8981818181818182,0.8936798462938619,0.8217948717948718,0.9561172161172161,3.0002999214448725,1.088005653121857,-0.12398115234026143,0.46950564986282217,1.8201829798695108,0.10581818181818184,0.07600000000000004,0.04800000000000002,0.033818181818181824
87,87,0.8981818181818182,0.8962524016584084,0.8349548031254788,0.9440784433889995,1.8926595133488537,1.390193746914211,0.8129155245819113,0.8949093878001335,1.4699861069591318,0.09600000000000002,0.0872727272727273,0.06145454545454547,0.028000000000000004
88,88,0.9054545454545454,0.9048420467348521,0.8516605752423327,0.9599555061179088,1.8851904305640836,0.6312931679568924,0.45371826391413633,0.8916525910083252,2.4754930815544833,0.09890909090909086,0.07527272727272721,0.06909090909090905,0.03890909090909086
89,89,0.8981818181818182,0.8988249570229548,0.8515612425559311,0.9513117656526638,3.2847562429788475,1.3764024119642957,0.2825833054061435,-0.17635799528011709,1.6457751552668303,0.10327272727272727,0.0792727272727273,0.05236363636363637,0.0301818181818182
90,90,0.92,0.9168888888888889,0.8409090909090909,0.9641322314049587,1.3391579419741264,1.9190181800804866,0.15348114053567866,0.7308454516789262,1.8723233895264881,0.12327272727272728,0.0614545454545455,0.0643636363636364,0.02945454545454549
91,91,0.9054545454545454,0.9030042047266927,0.8536315934824634,0.9506351836509251,2.2242555328870997,1.5526499579798092,-0.17359662823934494,1.1148382063316238,1.46685530198093,0.1352727272727272,0.0705454545454545,0.08690909090909087,0.03745454545454541
92,92,0.9490909090909091,0.9470610211706102,0.892813872482205,0.9787217931243375,3.1720775564578285,1.4839331759387233,0.08080730519924205,0.1108903876363639,1.174277513869644,0.12036363636363638,0.10145454545454546,0.0669090909090909,0.05054545454545456
93,93,0.9345454545454546,0.9345454545454546,0.8948240693523712,0.9694883562808091,2.926451112318491,1.5521511542216744,0.8402811966573069,-1.1442566327942887,2.231378004517474,0.10109090909090912,0.09018181818181821,0.06727272727272729,0.04909090909090911
94,94,0.9309090909090909,0.9280698823775647,0.8592467407049734,0.9717527764365042,2.876831376797677,1.3657878837590298,0.03282316193534572,-0.4616304960443902,2.265124096820398,0.0872727272727273,0.0749090909090909,0.06472727272727272,0.041818181818181824
95,95,0.9272727272727272,0.9272727272727272,0.8863636363636365,0.9638842975206612,2.3632818339580015,1.863836027054084,0.18635633391239603,0.581377234679461,0.9928742579909263,0.12109090909090905,0.08945454545454544,0.0658181818181818,0.01854545454545453
96,96,0.9236363636363636,0.9217903808729496,0.8631813125695217,0.9385825520419513,2.9261770156556564,0.9740630021156876,0.37169008864739406,-0.4668111124368536,2.582562048842974,0.11309090909090905,0.07636363636363631,0.06836363636363632,0.032727272727272695
97,97,0.9127272727272727,0.912010412494994,0.8430106555896695,0.9553007043525376,2.942596438122119,1.4853574373268483,0.34703694515858413,0.15868867593648345,1.4068866201694878,0.08327272727272726,0.0789090909090909,0.07709090909090908,0.029090909090909077
98,98,0.9090909090909091,0.9048380410967016,0.8365231259968102,0.9585326953748006,3.0531884997857293,1.1198526566278946,0.4402432128056141,-0.20518530362322485,1.8172735647448364,0.10836363636363636,0.10036363636363635,0.04545454545454543,0.008363636363636328
99,99,0.9127272727272727,0.9115965058601465,0.8582077840552417,0.948210922787194,2.179667526991289,1.6545904952405535,0.34403722044503715,0.6526306575929646,1.4473310858777315,0.10109090909090908,0.09563636363636362,0.0730909090909091,0.015272727272727282
100,100,0.9236363636363636,0.9215292615736075,0.852158762536121,0.9581845996940336,1.7963633090827194,2.0783811410051225,0.3170173735397862,0.43479511236832946,1.4876433820199157,0.08472727272727268,0.08618181818181814,0.05599999999999997,0.044363636363636307
101,101,0.92,0.9182763895971443,0.8567351598173516,0.9574363992172211,2.259012343736954,1.1733177682654266,0.18036462059869376,1.3857468978517462,1.1779119458071674,0.10363636363636368,0.0923636363636364,0.059272727272727324,0.04000000000000005
102,102,0.9418181818181818,0.9418181818181818,0.9051397033459814,0.978095895136254,1.9092774046522174,1.1417128607084626,0.15021361629609326,0.530928382873856,2.3688066812053634,0.12399999999999993,0.07745454545454541,0.07199999999999995,0.057090909090909046
103,103,0.9090909090909091,0.9081961961814538,0.8539647227077705,0.9544732242173845,2.589090696389958,1.8353020113869425,0.30350830527491557,0.7802937611529454,0.7019385986763361,0.11127272727272723,0.0647272727272727,0.06072727272727272,0.03927272727272725
104,104,0.9272727272727272,0.9262002571419612,0.8707893413775767,0.9508128037539803,3.106628805272434,1.3293094541672517,0.24034953223459576,-0.3150981249241771,1.8362793188860955,0.12218181818181817,0.09381818181818179,0.06618181818181815,0.03527272727272725
105,105,0.9127272727272727,0.9127272727272727,0.8654598825831703,0.9522178734507503,3.288669832319982,1.2622160865253085,0.2990644487247185,0.1526262934201957,1.4789277478652183,0.10945454545454543,0.0770909090909091,0.07054545454545455,0.0327272727272727
106,106,0.9163636363636364,0.9119172399508257,0.8349165006894439,0.9641489198713038,2.497738168657558,1.3533485341168607,0.2753722619577454,0.5353801966612635,1.4433077897924431,0.09272727272727274,0.06363636363636366,0.0410909090909091,0.009090909090909116
107,107,0.9054545454545454,0.9031825229034531,0.8458604857819905,0.9489780805687204,2.565817138521286,1.724852414810975,0.1795104541225196,0.12848455678857493,1.5820243165850032,0.11018181818181812,0.08654545454545451,0.08036363636363633,0.027272727272727216
108,108,0.8981818181818182,0.8933223140495868,0.8142132364076935,0.9458579433590792,2.6907548670620316,1.3312803056167761,0.34182356383826734,-0.7991921956407615,2.85513173439275,0.11200000000000002,0.06690909090909093,0.06290909090909094,0.0501818181818182
109,109,0.9309090909090909,0.9297161088511023,0.8786817962337035,0.9610494125221309,2.7262504167330923,1.0896813724692385,0.45932886829329905,-0.1446480298646676,2.3721180771749046,0.12399999999999997,0.10690909090909088,0.08327272727272729,0.05563636363636364
110,110,0.9418181818181818,0.9426323567500038,0.9198861676440151,0.9651604001379785,2.3929675095909984,1.1469529659861952,0.39238319475127226,-0.21033580864214685,2.3574028146203263,0.10981818181818179,0.09636363636363632,0.10654545454545453,0.06472727272727266
