,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_CO2_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backtop_CO2_fd2_scaled
61,61,0.9135802469135802,0.9137156777736488,0.9037576687116564,0.9431748466257669,2.8485325954979737,0.8686906880978429,0.018840503711941105,1.5855402850265128,0.5819250765145949,0.15144032921810696,0.15514403292181064,0.009053497942386779,0.023868312757201617,0.02057613168724275,0.02222222222222219,0.006584362139917666,0.012757201646090477
62,62,0.9053497942386831,0.9066042914433361,0.9066433566433567,0.9693084693084693,3.517014733956319,0.7615588510817358,0.4261748740109376,0.8380902076984944,0.09799351161050822,0.13744855967078187,0.10246913580246911,0.009465020576131678,-0.005761316872427991,0.005349794238683115,0.009465020576131666,-0.0032921810699588438,-0.002880658436214012
63,63,0.8600823045267489,0.8615010503899393,0.8471428571428572,0.9375396825396826,2.9726551081138983,0.6849300707329644,0.5813395189610984,1.4792139109600186,0.17893351218533224,0.10823045267489709,0.15967078189300404,0.0028806584362139785,0.011111111111111061,0.009465020576131678,-0.009465020576131734,-0.002469135802469169,0.000411522633744843
64,64,0.8847736625514403,0.8859420414975971,0.8760714285714286,0.9229365079365078,3.7245020633764034,0.7285315640766336,0.8105205276139024,0.29697106383988625,0.41148848756313117,0.12098765432098761,0.08806584362139916,0.011522633744855936,0.004526748971193395,0.01975308641975303,0.00781893004115224,-0.0004115226337448763,0.0028806584362139676
65,65,0.8930041152263375,0.8943180309667764,0.8955572289156626,0.9654367469879518,3.8879013915989993,0.896414872353137,0.5241951202683349,0.3047083156368502,0.027834218987315036,0.12633744855967083,0.19094650205761318,-0.007818930041152227,0.007818930041152316,0.0008230452674897637,-0.0008230452674896527,-0.006584362139917643,-0.005761316872427935
66,66,0.8806584362139918,0.8807875727868273,0.8737348178137652,0.9560439560439561,3.330254585425553,0.6330262713951615,0.7059510707067026,0.8202949922920728,0.2772031179431691,0.12427983539094647,0.05185185185185185,-0.0016460905349794165,-0.0024691358024691358,0.01563786008230451,-0.00781893004115226,-0.010288065843621408,-0.023868312757201648
67,67,0.8765432098765432,0.8774528438506934,0.8724497393894266,0.9475800446760982,3.5776005845790544,0.6454064750526111,0.7059130487895753,0.6912505044595355,0.23436980346457129,0.11399176954732508,0.04979423868312758,-0.018930041152263377,-0.014403292181069949,0.008230452674897127,-0.016872427983539107,-0.01069958847736623,-0.016872427983539107
68,68,0.8477366255144033,0.8488577945137308,0.8355828220858896,0.9331288343558283,3.2449497066596176,0.6034945657918694,0.9162477361186991,0.6529933391861166,0.48392850790621095,0.06995884773662553,0.09341563786008232,-0.010288065843621363,-0.011934156378600791,0.0049382716049383045,-0.011111111111111094,-0.00987654320987651,-0.004938271604938249
69,69,0.8353909465020576,0.8343748412335518,0.8112198795180723,0.931777108433735,3.4048679630781753,0.7195880847738426,0.8542986463334821,0.8937973613592944,0.005131737550010437,0.06460905349794237,0.10452674897119336,-0.003292181069958866,0.006584362139917666,0.0037037037037036757,0.000823045267489686,-0.012345679012345711,-0.017283950617283984
70,70,0.8806584362139918,0.8804656277328882,0.8633052147239264,0.931058282208589,3.44103169352437,0.7440713776605411,0.5236459817672479,0.8131189680647433,0.19160711639218964,0.10864197530864197,0.14897119341563783,0.01069958847736624,0.016049382716049367,0.024691358024691346,0.02016460905349794,0.0012345679012345622,-0.0004115226337448652
71,71,0.8765432098765432,0.8769361130046202,0.8626119172584131,0.9395646804569312,3.7407893479289367,0.9174385931939505,0.12931896238432267,1.694242550723103,-0.762204534945456,0.10823045267489713,0.055144032921810714,0.0008230452674897193,-0.004115226337448541,0.011111111111111117,0.0024691358024691466,-0.003703703703703687,-0.005349794238683103
72,72,0.8477366255144033,0.8490683180500973,0.8415318957771788,0.911275831087152,3.5064693742538586,0.6622706666895118,0.6252442225545208,0.47852736603709184,0.7770583599717928,0.10781893004115228,0.162962962962963,0.004115226337448574,0.0004115226337448874,0.01028806584362143,0.009876543209876586,-0.0008230452674896971,1.1102230246251566e-17
73,73,0.8518518518518519,0.8479130017591556,0.8117283950617284,0.9367474470355128,3.4234970986086783,0.6610774625040705,0.7846710095959751,0.7337847592170221,0.04863604191679361,0.12304526748971192,0.04197530864197533,-0.005349794238683115,0.0008230452674897193,0.0016460905349794386,0.006584362139917699,-0.00781893004115224,-0.0024691358024691245
74,74,0.8806584362139918,0.8793492712333292,0.8582659478885895,0.9556753519017669,3.029268287823507,0.5243363803385398,0.5640414074477477,0.6097140326473709,1.0326251945590514,0.13456790123456788,0.13539094650205757,0.0065843621399176875,0.013991769547325094,0.00781893004115226,0.028395061728395055,0.006584362139917666,0.018106995884773647
75,75,0.8847736625514403,0.8847736625514403,0.8711558854718982,0.9514467504923495,3.3964253136569527,0.7464409645696343,0.6594829520822224,1.0482475366689463,0.05209905171719083,0.13497942386831271,0.09259259259259256,0.0,-0.002469135802469169,0.02222222222222221,0.02057613168724278,0.0028806584362139785,-0.002880658436214023
76,76,0.8888888888888888,0.8893953879043816,0.8789877300613497,0.9490797546012271,3.167883555766796,0.6824999586589932,0.37800298543518085,0.8717967598245001,0.7036498334083623,0.12263374485596704,0.10082304526748968,-0.0069958847736625975,-0.00246913580246918,0.005349794238683081,0.007818930041152205,-0.001646090534979472,-0.0012345679012346067
77,77,0.8683127572016461,0.8679309831920273,0.8516397124887691,0.9275232105420785,3.3246566299063396,0.5957967346675712,0.480590330214123,1.4278124045534328,0.053471229593638724,0.12057613168724284,0.04855967078189305,-0.0028806584362139455,0.005349794238683181,0.010288065843621453,0.006995884773662609,0.004938271604938327,-0.0016460905349793941
78,78,0.8888888888888888,0.8862618474954148,0.8563096500530223,0.9513710043932737,2.91891555608037,0.9018269596121125,1.2526558248743191,1.286207554050184,-0.6604548028417442,0.09094650205761311,0.06543209876543205,0.01687242798353905,0.013580246913580197,0.01975308641975303,0.0024691358024691024,0.00041152263374480966,0.010288065843621352
