,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled
75,75,0.8106995884773662,0.8058093278463648,0.7673837297379185,0.8736555067414028,1.7202983904985367,0.3775250822581612,-0.08142368642594802,0.6445708613441943,2.2549184024501256,0.09794238683127568,0.07119341563786002,0.09259259259259256,0.07325102880658435
76,76,0.8024691358024691,0.7961158039130749,0.750920245398773,0.8308282208588956,1.9302547304470483,0.5434668202663223,-0.042817398934247894,1.2643646677370188,1.2166813556689378,0.0794238683127572,0.057201646090534984,0.06666666666666668,0.05267489711934158
77,77,0.7818930041152263,0.7787216370294862,0.7462938005390836,0.8596885294998503,1.0124918067215647,0.07075629280955452,0.23568342336070636,1.5112306751954852,2.3192786560320418,0.0654320987654321,0.06872427983539094,0.06790123456790123,0.062139917695473244
78,78,0.7860082304526749,0.7814053504427143,0.7427662475382517,0.8624450840781699,0.8197669947520317,0.4260958183427942,0.11490494405292902,1.6329208192003157,1.8063566324424556,0.08395061728395059,0.06172839506172839,0.06255144032921808,0.023045267489711918
79,79,0.7983539094650206,0.7986796893124026,0.7718817536276629,0.8558968817536275,1.4101373088778266,0.65156540591961,0.14564944456150594,1.4904766462234935,1.0229613438400946,0.09588477366255146,0.08806584362139919,0.08353909465020579,0.051440329218107025
80,80,0.7654320987654321,0.7599239805015102,0.7344086021505376,0.8526164874551971,0.7060051553419048,0.2508929785185701,0.40327182373975384,1.7598115005803032,1.981606837468449,0.07818930041152258,0.09094650205761312,0.05473251028806577,0.049794238683127524
81,81,0.7860082304526749,0.7809249642269103,0.7206436292171634,0.8484277759580741,1.6080865529488677,0.7864972237323833,-0.16999070658612908,1.3207463468682061,1.2514811145115714,0.08353909465020574,0.09629629629629627,0.035390946502057576,0.0633744855967078
82,82,0.757201646090535,0.753631678647923,0.728744939271255,0.8226576055523425,1.6302387329058377,0.3322398462136058,0.35684438356449916,2.0588843951067384,0.7136753640647397,0.05637860082304526,0.07695473251028805,0.05720164609053498,0.04814814814814813
83,83,0.7983539094650206,0.7949835024360024,0.7666887709991158,0.8586796345417036,1.4619109529661019,0.3753160095276497,-0.14716060802403003,1.3274805633989615,1.6349358004616774,0.1049382716049383,0.08312757201646094,0.07942386831275723,0.039506172839506214
84,84,0.7818930041152263,0.7761688812135036,0.7514636584321006,0.8554905040696844,1.7052206889993036,0.44430474034571993,0.05009898748865126,1.712436891772954,1.203755922379748,0.05802469135802468,0.0699588477366255,0.06790123456790123,0.039094650205761305
85,85,0.7530864197530864,0.7442058304803403,0.6841317365269461,0.8063346990230067,2.1465785565460016,0.5959599959329027,0.009273480604030621,1.6451253206872234,0.47049561541007323,0.0654320987654321,0.08312757201646093,0.04197530864197531,0.03950617283950618
86,86,0.8189300411522634,0.8130719857502611,0.759675355829202,0.8576683192067808,0.9931534234317269,0.45634038195886206,-0.06481810539532233,1.3455186514338813,2.2229975932664607,0.09012345679012349,0.09835390946502062,0.05390946502057618,0.055967078189300454
87,87,0.7695473251028807,0.7659447611278573,0.7199186355812861,0.8209200438116101,1.5727110258412984,0.29770523827830364,-0.06073594673133202,1.338065338104935,1.690142399580424,0.04115226337448565,0.045679012345679074,0.03333333333333337,0.05843621399176959
88,88,0.8024691358024691,0.7945274709407263,0.749204665959703,0.8719133464626573,1.2744439536828127,0.5586518546854558,0.12402800606719902,1.2986686140049117,1.6232311892952114,0.07366255144032922,0.043621399176954734,0.0588477366255144,0.06748971193415639
