,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd3_scaled
149,149,0.6669401148482362,0.7211538461538461,0.6847852561500365,0.6741766122703039,0.1386382280557833,0.006726825266611947,0.02666119770303521,0.027235438884331442
150,150,0.660377358490566,0.7132963988919667,0.6774647506156802,0.5733078942383155,0.12674323215750605,0.012387202625102511,0.013453650533224004,0.01780147662018039
151,151,0.6702214930270713,0.7246575342465753,0.6883250791588861,0.8029972125246949,0.10705496308449547,0.01648892534864632,0.023625922887612782,0.029450369155045064
152,152,0.660377358490566,0.7148760330578512,0.6779464696489946,0.7255446401991826,0.11074651353568499,0.02780968006562745,0.018129614438063824,0.011074651353568443
153,153,0.660377358490566,0.7144827586206897,0.677826039890666,0.6968174068360803,0.1318293683347006,0.007793273174733439,0.014684167350287214,0.02009844134536498
154,154,0.6841673502871206,0.7324530924252953,0.7010811615382534,0.8371654353062163,0.032485643970467604,0.006480721903199371,0.018129614438063935,0.030188679245283012
155,155,0.6669401148482362,0.7211538461538461,0.6847852561500365,0.804818543476496,0.10631665299425763,0.009926168990976203,0.031091058244462566,0.021739130434782594
156,156,0.6652994257588187,0.720164609053498,0.683256204162269,0.6699791615923791,0.16505332239540604,0.020508613617719385,0.022723543888433118,0.0652173913043479
157,157,0.667760459392945,0.7224126113776559,0.6857906416605776,0.7346120538009797,0.12346185397867104,0.011812961443806502,0.0142739950779327,0.04044298605414276
158,158,0.6513535684987695,0.7046560111188325,0.6680915266163298,0.5758964574707045,0.16398687448728466,0.011484823625922846,0.009187858900738366,0.012961443806398742
159,159,0.6570959803117309,0.7113259668508287,0.674406646640145,0.7283429406511326,0.11353568498769473,0.00418375717801478,0.01607875307629203,0.01058244462674307
160,160,0.6595570139458573,0.7135955831608005,0.6769410841384537,0.6461827826039892,0.12042657916324861,0.006398687448728513,0.02214930270713711,0.00951599671862191
161,161,0.6636587366694011,0.7180192572214581,0.6813658628995156,0.7472842412925226,0.136177194421657,0.01181296144380628,0.015914684167350313,0.02034454470877778
162,162,0.6513535684987695,0.7062888735314443,0.6685732456496442,0.6145977104814484,0.15209187858900736,0.010500410172272323,0.029450369155045175,0.003117309269893287
163,163,0.6652994257588187,0.71939477303989,0.6830153446456118,0.6600010825146816,0.17374897456931915,0.010992616899097585,0.018211648892535015,0.018293683347005762
164,164,0.6587366694011485,0.7138927097661623,0.676417417661227,0.5970555600660334,0.1392945036915505,0.008777686628383963,0.01476620180475785,0.02329778506972935
165,165,0.671862182116489,0.7271487039563438,0.6903358501799681,0.7657993017780304,0.15611156685808047,0.010828547990155868,0.02969647251845775,0.032977850697292865
166,166,0.6587366694011485,0.713103448275862,0.6761765581445698,0.6269965630158859,0.09557013945857251,0.01607875307629214,0.012797374897456915,0.008039376538146015
167,167,0.6694011484823625,0.7237834132967786,0.6874401234066737,0.8021433790695787,0.08162428219852336,0.011566858080393705,0.022805578342903976,0.04167350287120575
168,168,0.6669401148482362,0.7211538461538461,0.6847852561500365,0.7445779545885091,0.13470057424118131,0.015340442986054081,0.036587366694011414,0.026907301066447897
169,169,0.6587366694011485,0.712707182320442,0.6760561283862413,0.6967023896511596,0.1643150123051682,0.003281378178835226,0.022313371616078825,0.012305168170631653
170,170,0.6546349466776046,0.7106529209621993,0.6723539281751509,0.590909582961219,0.17875307629204268,0.024692370795734275,0.026579163248564353,0.008203445447087732
171,171,0.6562756357670222,0.7100346020761246,0.6734012611296041,0.7883927363264864,0.017637407711238784,0.014356029532403558,0.01246923707957348,0.013289581624282287
172,172,0.660377358490566,0.7140883977900553,0.6777056101323374,0.7452328759708804,0.04979491386382273,0.008203445447087732,0.021575061525840766,0.015750615258408485
173,173,0.6694011484823625,0.7237834132967786,0.6874401234066737,0.7521663825065628,0.07899917965545522,0.018785890073830913,0.01788351107465136,0.02132895816242819
