,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled
64,64,0.9212022745735174,0.9160173160173161,0.9223457971245581,0.95550772010949,-0.0032493907392364685,0.06287571080422427,0.054995938261575894,0.0009748172217708406,-0.0010560519902519383,0.019090170593013767,0.007961007311129253,0.018115353371242926
65,65,0.9220146222583265,0.9175257731958762,0.9237675728826171,0.9450384012330915,0.0018683996750610277,0.08180341186027618,0.014053614947197368,0.051177904142973185,-8.123476848087563e-05,0.036718115353371106,0.0181965881397238,0.02022745735174658
66,66,0.9147034930950447,0.9090909090909091,0.9158029711127056,0.9503202317361609,-0.0036555645816409577,0.07367993501218528,0.04890333062550778,0.008285946385052867,-0.002680747359870117,0.027213647441104882,0.00820471161657188,0.007067424857839177
67,67,0.9236393176279447,0.919104991394148,0.9252690743841185,0.9575566717159638,-0.0007311129163281027,0.06458164094232322,0.02307067424857845,0.01616571892770091,0.0016246953696181787,0.030544272948822004,0.03728675873273746,0.021364744110479283
68,68,0.9155158407798538,0.9090909090909091,0.9158826968561482,0.9495349331632518,-0.0012185215272134675,0.080178716490658,0.12485783915515847,0.008123476848091116,0.006986190089358302,0.022583265637692862,0.009991876523151921,0.01145410235580846
69,69,0.9187652315190902,0.912739965095986,0.919288314863536,0.9539955885088629,-0.0038992688870835845,0.0449228269699431,0.0708367181153533,0.011535337124289224,0.00016246953696186228,0.033143785540211246,0.05182778229082041,0.008529650690495605
70,70,0.9155158407798538,0.9100346020761245,0.916687926864918,0.9429588880916314,-0.0007311129163281027,0.10365556458164105,0.05410235580828593,0.01998375304630373,0.00016246953696175126,0.03468724614134866,0.012753858651502803,0.001787164906580152
71,71,0.9212022745735174,0.9154315605928509,0.9218089771187117,0.9504105875787292,-0.0025182778229081437,0.06515028432168968,0.013728675873273644,-0.0021121039805037656,-0.0016246953696184008,0.04386677497969116,0.007229894394800929,0.002437043054427157
72,72,0.9260763606823721,0.9221556886227545,0.9281923516436791,0.9551383241648729,-0.0017059301380990544,0.05824532900081236,0.03403736799350132,0.0036555645816409577,-0.000893582453289965,0.03826157595450863,0.03728675873273768,0.014378554021120982
73,73,0.9203899268887084,0.9140350877192982,0.9205214063621143,0.9504345053017621,0.0021121039805036546,0.011291632818846598,0.019983753046303843,0.007554833468724653,-8.123476848087563e-05,0.0032493907392363575,0.06441917140536146,0.004630381803411687
