,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_fd3_scaled
91,91,0.9183673469387755,0.9133448873483535,0.9194019844462322,0.9520005363368195,0.003918367346938734,0.00897959183673469,0.009632653061224405,0.005224489795918386,-0.018530612244897826,0.002448979591836653,0.08628571428571419,0.007673469387755261
92,92,0.916734693877551,0.9111498257839721,0.9173773129525342,0.9536444086886564,0.08383673469387753,-0.0026938775510203516,0.005142857142857116,0.0034285714285713365,0.12579591836734694,-0.003591836734693765,0.03804081632653078,0.05167346938775519
93,93,0.9330612244897959,0.9291882556131261,0.9344395280235989,0.9551354250469294,0.020489795918367304,0.011102040816326597,0.008408163265306023,0.0013061224489795409,0.023836734693877593,0.003755102040816194,0.01951020408163251,0.008653061224489833
94,94,0.9444897959183673,0.9410745233968805,0.9456824886028425,0.9763877715205149,0.006040816326530529,0.012489795918367297,0.01200000000000001,0.009306122448979548,0.0006530612244897149,0.018693877551020255,0.01836734693877551,0.024653061224489736
95,95,0.9248979591836735,0.9215017064846417,0.9271185304371146,0.962641458836149,0.0071836734693878634,0.010285714285714342,0.017142857142857237,-0.0022040816326530654,0.004979591836734798,0.010612244897959089,0.001877551020408097,0.015428571428571458
96,96,0.7387755102040816,0.7704447632711621,0.7540091177259318,0.906427996781979,0.006285714285714339,0.0016326530612243983,0.05387755102040814,0.03020408163265298,-0.1286530612244896,0.02253061224489794,0.030612244897959107,0.05436734693877543
97,97,0.9240816326530612,0.9192006950477846,0.9249597747385359,0.9500589970501475,0.0626938775510204,0.007836734693877578,0.005714285714285561,0.004734693877551099,0.07330612244897938,0.03216326530612246,0.01828571428571446,-0.0014693877551020806
98,98,0.8808163265306123,0.8797364085667215,0.8854451595602038,0.9561786001609011,0.13657142857142845,0.026693877551020373,0.008571428571428563,0.02130612244897978,0.11861224489795918,0.02530612244897945,0.06228571428571428,0.19200000000000006
99,99,0.9085714285714286,0.9037800687285223,0.9101836953606866,0.9451381067310272,-0.0013061224489795409,0.04848979591836733,0.009551020408163247,0.008979591836734802,0.041877551020408244,0.0329795918367346,0.03420408163265298,0.01844897959183678
100,100,0.9191836734693878,0.9115281501340483,0.9179941002949852,0.953563958165728,0.014204081632652965,0.01951020408163273,0.00759183673469388,-0.0010612244897957313,0.06514285714285717,0.008408163265306023,0.04220408163265288,0.026367346938775627
