,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled
63,63,0.8793774319066148,0.8074534161490683,0.8411396574440053,0.9671277997364954,0.04280155642023353,0.015564202334630184,0.015564202334630184,0.021789883268482302,0.029182879377431914,0.005058365758754735,0.00038910505836564635,0.010894941634241095
64,64,0.8871595330739299,0.8542713567839196,0.8952898550724637,0.9736495388669302,0.1326848249027237,0.0019455252918286758,0.022957198443579796,0.0046692607003889774,0.0019455252918286758,-0.0011673151750973831,-0.008171206225681016,-0.020622568093385252
65,65,0.8910505836575876,0.8390804597701149,0.8694664031620554,0.9594861660079053,0.05486381322957212,0.018287937743190597,0.011673151750972721,0.023346303501945442,0.018287937743190597,0.008560311284046662,0.01906614785992211,0.022957198443579685
66,66,0.8365758754863813,0.7236842105263158,0.7837615283267457,0.9683135704874836,0.057198443579766556,-0.0046692607003890885,-0.011284046692606964,1.1102230246251565e-16,0.02373540856031131,0.016731517509727678,0.0038910505836576847,0.008171206225681016
67,67,0.8871595330739299,0.861244019138756,0.9073122529644269,0.9631093544137023,0.45408560311284046,0.0027237354085601906,0.012840466926069882,0.03151750972762646,0.0019455252918286758,0.08404669260700381,0.11400778210116735,0.036575875486381304
68,68,0.77431906614786,0.5538461538461539,0.6895915678524375,0.964756258234519,-0.0007782101167315147,0.0046692607003891995,0.009338521400778288,0.023346303501945553,0.0077821011673152585,0.04319066147859918,0.05758754863813231,0.03891050583657585
69,69,0.8715953307392996,0.7843137254901961,0.8230566534914361,0.9746376811594202,0.04319066147859929,0.01322957198443564,0.01634241245136192,-0.004280155642023442,0.006225680933852007,0.0038910505836574627,0.015564202334630406,-0.0007782101167316258
70,70,0.8287937743190662,0.6901408450704225,0.763274044795784,0.9764163372859025,0.020233463035019494,0.005447470817120714,0.015175097276264649,0.0038910505836576847,0.013229571984435862,-0.0046692607003889774,0.0007782101167316258,-0.007003891050583633
71,71,0.8443579766536965,0.7333333333333333,0.7898221343873517,0.9687747035573122,0.011284046692607075,0.014785992217898891,0.005836575875486361,0.0007782101167315147,-0.008171206225680905,0.00894941634241242,0.01634241245136192,0.005058365758754957
72,72,0.8287937743190662,0.6944444444444444,0.7656785243741766,0.9700922266139658,0.05214007782101171,0.05097276264591455,0.006225680933852229,0.02529182879377434,0.05486381322957212,0.00894941634241253,0.013618677042801619,0.019066147859922222
73,73,0.8638132295719845,0.7712418300653595,0.8145915678524374,0.9744400527009223,0.04474708171206232,-0.011673151750972832,-0.00311284046692617,-0.014007782101167376,0.01050583657587556,0.0015564202334629185,0.010894941634241317,-0.005058365758754957
74,74,0.8871595330739299,0.8242424242424242,0.8544137022397892,0.9716732542819498,0.024124513618676846,0.016731517509727456,0.009338521400778066,0.010894941634241095,0.0046692607003889774,0.00428015564202322,0.007003891050583522,-0.0035019455252919274
75,75,0.8171206225680934,0.6713286713286714,0.7517786561264822,0.9661396574440053,-0.0035019455252918164,0.01789883268482484,0.030350194552529186,0.03307392996108938,0.0038910505836575737,0.024902723735408472,0.026070038910505744,0.010505836575875449
76,76,0.8871595330739299,0.8220858895705522,0.8520092226613966,0.9640974967061924,0.06536964980544746,0.015564202334630184,0.029182879377431692,-0.007392996108949501,0.02645914396887139,0.020233463035019272,0.01595330739299594,0.015175097276264427
77,77,0.7120622568093385,0.3620689655172414,0.6050395256916996,0.952832674571805,0.017509727626459193,0.030739299610894943,0.039299610894941606,0.033852140077821,0.008171206225681016,0.06809338521400776,0.05797665369649796,0.014007782101167376
78,78,0.8871595330739299,0.8220858895705522,0.8520092226613966,0.9672595520421607,0.057198443579766556,0.02334630350194533,0.006614785992217764,0.03463035019455252,0.03073929961089472,0.01011673151750958,0.015175097276264427,0.005058365758754735
79,79,0.8910505836575876,0.8409090909090909,0.871870882740448,0.952635046113307,0.07159533073929969,0.0027237354085603016,0.018287937743190597,0.015175097276264538,0.0035019455252918164,0.005447470817120603,0.028404669260700288,0.015953307392996052
80,80,0.8326848249027238,0.6950354609929078,0.7663043478260869,0.9721343873517786,0.05797665369649807,0.03151750972762646,0.02101167315175101,0.0669260700389106,0.02373540856031131,0.014785992217898891,0.019066147859922222,0.007392996108949501
81,81,0.8715953307392996,0.8,0.8374835309617918,0.962977602108037,0.003112840466925948,0.007782101167315036,-0.0019455252918288979,0.015953307392996163,0.007782101167315036,0.010894941634241095,-0.0007782101167316258,0.019844357976653515
