,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled
30,30,0.8266666666666667,0.7547169811320755,0.799771167048055,0.924893756129454,-0.008888888888888946,-0.005777777777777882,0.01244444444444437,-0.014666666666666717,0.020444444444444376,0.008444444444444477,0.0048888888888888316,0.009333333333333305,0.058666666666666756,0.016888888888888953,0.010222222222222133,-0.009777777777777774
31,31,0.8666666666666667,0.8235294117647058,0.8503595946387709,0.9110820529584833,-0.0040000000000000036,-0.0031111111111109535,-0.001777777777777767,0.0040000000000000036,0.016444444444444484,0.0022222222222223476,0.0022222222222221255,0.016444444444444484,0.06044444444444441,0.009777777777777774,0.0004444444444444695,0.015999999999999903
32,32,0.8755555555555555,0.8409090909090909,0.8645799280810722,0.9171297809741746,0.0022222222222222365,-0.019555555555555548,-0.00622222222222224,0.005777777777777882,-0.008444444444444477,-0.003555555555555534,0.000888888888888939,0.011999999999999789,0.011111111111111183,0.002666666666666595,0.022666666666666502,0.023111111111111082
33,33,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.9124713958810069,0.002666666666666595,0.0,-0.005333333333333412,0.005333333333333301,0.13022222222222213,0.022666666666666724,0.022666666666666502,0.022222222222222365,0.0888888888888889,0.014222222222222136,0.04444444444444429,0.0039999999999998925
34,34,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9182739457338999,0.0004444444444443585,-0.002666666666666706,0.0031111111111110645,-0.006222222222222351,0.026666666666666616,0.016888888888888842,0.019555555555555437,0.008444444444444366,0.0239999999999998,0.0022222222222222365,0.004000000000000115,-0.003555555555555534
35,35,0.8666666666666667,0.8214285714285714,0.8486842105263157,0.9002124877410919,0.008444444444444588,0.0004444444444444695,-0.001777777777777767,-0.003555555555555534,0.07466666666666666,0.002666666666666595,0.02444444444444449,0.0040000000000000036,0.005777777777777882,0.028000000000000025,0.02399999999999991,0.011555555555555541
36,36,0.8533333333333334,0.8216216216216217,0.8491337038247793,0.892938868911409,-0.006222222222222018,-0.027999999999999914,-0.021333333333333204,-0.023555555555555663,0.2182222222222222,0.03200000000000014,-0.014666666666666606,0.03244444444444439,0.29999999999999993,0.01288888888888906,0.021333333333333537,0.03600000000000003
37,37,0.8666666666666667,0.8275862068965517,0.853710362863681,0.9129617522066035,0.000888888888888939,-0.008444444444444477,-0.0004444444444444695,-0.0013333333333332975,0.1511111111111112,-0.004444444444444362,-0.0031111111111111756,-0.0022222222222221255,0.08577777777777773,0.03199999999999992,-0.0013333333333332975,-0.0004444444444444695
38,38,0.8577777777777778,0.8072289156626506,0.8378146453089245,0.9155769859431186,0.003555555555555423,-0.001777777777777656,0.004888888888888943,0.0013333333333334085,0.020444444444444487,0.011555555555555541,-0.0022222222222222365,0.027999999999999914,0.04399999999999993,0.006666666666666599,0.0,0.0
39,39,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.9213795357960116,0.005333333333333301,-0.0004444444444444695,0.0013333333333331865,0.0013333333333331865,0.0013333333333331865,-0.005777777777777993,-0.005333333333333412,-0.0022222222222222365,0.1022222222222221,-0.005333333333333412,0.0057777777777776596,-0.015555555555555656
40,40,0.8666666666666667,0.8275862068965517,0.853710362863681,0.9089571755475645,-1.1102230246251565e-16,-1.1102230246251565e-16,0.000888888888888717,-0.009777777777777774,0.0022222222222221255,0.008888888888888946,-0.0040000000000000036,0.0031111111111111756,-0.008444444444444477,0.006222222222222351,0.011555555555555652,0.016444444444444484
