,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_fd3_scaled
131,131,0.7990867579908676,0.7471264367816092,0.7863317357069497,0.8410647038685382,-0.042465753424657526,-0.014155251141552583,0.05114155251141561,0.05616438356164388
132,132,0.7671232876712328,0.6909090909090909,0.7467904827114002,0.8572406710030811,-0.015525114155251152,0.010958904109588996,0.2173515981735159,0.01187214611872145
133,133,0.817351598173516,0.8076923076923077,0.8305374871619309,0.9111605614515575,-0.02465753424657524,-0.03470319634703212,0.09817351598173518,0.07808219178082187
134,134,0.771689497716895,0.6951219512195121,0.750727490585416,0.8559568640876414,-0.00776255707762552,0.005479452054794609,0.006849315068493067,0.03378995433789955
135,135,0.8082191780821918,0.7717391304347826,0.8031923998630606,0.9087641218760698,-0.0365296803652968,0.0365296803652968,0.07716894977168953,0.17260273972602747
136,136,0.817351598173516,0.7849462365591398,0.8140619650804519,0.8394385484423142,-0.045662100456621,0.013698630136986356,0.05296803652968041,0.037442922374429144
137,137,0.5799086757990868,0.0,0.5,0.8625470729202328,0.0,0.0,0.0,0.0
138,138,0.7214611872146118,0.5481481481481482,0.6774649092776446,0.7719958918178706,0.0031963470319633647,0.008675799086757974,0.012785388127853903,0.021461187214611765
139,139,0.7671232876712328,0.6946107784431138,0.7482882574460801,0.8354159534406025,-0.045205479452054886,0.06484018264840175,0.22191780821917806,-0.0036529680365295913
140,140,0.5799086757990868,0.0,0.5,0.8395241355700102,0.0,0.0,0.0,0.0
141,141,0.7671232876712328,0.6871165644171779,0.7452927079767203,0.829510441629579,-0.01598173515981738,0.05890410958904102,0.07168949771689492,-0.0018264840182647957
142,142,0.7168949771689498,0.5079365079365079,0.6660390277302294,0.8745292707976721,0.01187214611872156,0.01735159817351606,0.02100456621004576,0.03287671232876721
143,143,0.5799086757990868,0.0,0.5,0.5596542280041082,0.0,0.0,0.0,0.0
144,144,0.7579908675799086,0.6708074534161491,0.7344231427593291,0.8994351249572065,-0.030593607305936188,0.04429223744292232,0.015068493150684925,0.026940639269406375
145,145,0.771689497716895,0.6753246753246753,0.7432386169120164,0.9257103731598767,-0.015068493150684925,0.006849315068493178,0.08401826484018271,-0.001369863013698569
146,146,0.8082191780821918,0.7717391304347826,0.8031923998630606,0.8937863745292708,-0.023287671232876672,0.00639269406392684,0.01050228310502288,0.05251141552511418
