,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled
40,40,0.8724279835390947,0.8730844305198117,0.8569965332492908,0.9460289946422943,1.4959983977490228,1.7562639137033915,1.2311111258766798,0.5712955780102742,0.6025102177542293,0.09218106995884777,0.07983539094650208,0.05226337448559672,0.08312757201646095
41,41,0.8641975308641975,0.8637058977687578,0.8509803921568628,0.9286129266521422,1.6347405708826137,1.5615994317081259,1.294964997723343,0.7941939215699667,0.4823887887292962,0.12427983539094645,0.1090534979423868,0.07366255144032918,0.02263374485596703
42,42,0.8765432098765432,0.8765432098765432,0.8583916083916083,0.9587412587412587,1.6128850050106847,1.5301893824770825,0.9623695519858625,1.3782613699528452,0.05077963710528437,0.0983539094650206,0.0786008230452675,0.0897119341563786,0.027160493827160494
43,43,0.8559670781893004,0.8567994880679246,0.8333333333333333,0.9314489928525016,1.9383098924227837,1.50611828013904,1.4991043203572156,0.9679051723434906,0.05648475316273827,0.12345679012345681,0.10617283950617282,0.10370370370370371,0.03950617283950617
44,44,0.8724279835390947,0.8726218288413202,0.8580246913580247,0.9423106233805822,1.6316101443429938,1.946393799962748,1.2191549097750034,0.47571896562792715,0.3845019272023175,0.14444444444444446,0.10905349794238686,0.027983539094650234,0.10781893004115228
45,45,0.8683127572016461,0.8658828140309622,0.8350076687116564,0.9198619631901841,1.6882805577253346,1.5700204871081695,1.2058605785023557,0.7876711256208521,0.5547591013010205,0.09423868312757205,0.10164609053497946,0.08271604938271608,0.0666666666666667
46,46,0.8683127572016461,0.8703901814881259,0.8700153374233128,0.9466257668711656,1.919123098346391,1.484577345576288,1.5313305941859536,0.548594839973029,0.21254724739340997,0.1349794238683128,0.10987654320987658,0.08930041152263378,0.05761316872427987
47,47,0.8806584362139918,0.880817957101258,0.8701787043931497,0.9430379746835443,2.2683228793066568,1.4373415474374613,1.534806709100789,0.7358756788535302,-0.1085960614413533,0.08312757201646091,0.11563786008230452,0.09670781893004114,0.024279835390946504
48,48,0.9176954732510288,0.9176954732510288,0.9055944055944056,0.9623154623154624,1.9146145776624932,1.421104037672223,1.3433446772143691,0.8317969713475019,0.21772667607174528,0.12592592592592597,0.13950617283950623,0.10164609053497946,0.052674897119341625
49,49,0.8888888888888888,0.8866008581221774,0.8567101226993865,0.9409509202453987,2.410225133838913,1.3484878758326653,1.2904641983841365,0.09880393329767542,0.6450521269855354,0.10864197530864192,0.11522633744855963,0.11769547325102878,0.07366255144032915
