,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_temperature_scaled
81,81,0.9854545454545455,0.9854545454545455,0.9772727272727273,0.998595041322314,1.967637938540019,2.649662912102907,1.4745960839784988,0.26155425730065246,1.8400940582384606,0.2803636363636364,0.1472727272727273,0.016727272727272747
82,82,0.9709090909090909,0.9713496307613954,0.966317500451508,0.9962073324905183,1.210502659979544,2.3894396406921348,1.7529456647523167,1.0067823783981038,1.7095130694449194,0.24254545454545456,0.13854545454545458,0.021090909090909125
83,83,0.96,0.9604144042938277,0.9464983851776305,0.9924358320584735,2.370382402150598,2.8370944616789315,1.2405867613069068,1.1042443064992216,0.9480009730638316,0.2738181818181818,0.1316363636363636,0.02436363636363633
84,84,0.9745454545454545,0.9746191220481503,0.9660640416730504,0.9950972881875287,2.214309328287936,2.598101972357178,1.5956622171857602,0.6195540211402301,1.8190845166352632,0.31272727272727263,0.15127272727272723,0.011272727272727212
85,85,0.9781818181818182,0.977876502582385,0.9530740378343118,0.9945368558382257,2.3565502922239414,3.0424100010267137,1.4897107382894519,0.16537108119245536,1.437446592396825,0.268,0.16181818181818178,0.03599999999999996
86,86,0.9927272727272727,0.9927272727272727,0.98992673992674,0.9997069597069598,1.981764954947011,2.8238684416792466,1.5409279015903625,0.5406223505180147,1.4888628559731345,0.3178181818181818,0.16109090909090903,0.03745454545454539
87,87,0.9672727272727273,0.9680454603422777,0.9789719626168225,0.9974720392216945,2.257660451732862,2.3709894528983066,0.7875756018057718,1.5670851625254523,1.4878252331461723,0.3265454545454546,0.14436363636363633,0.007272727272727275
88,88,0.9781818181818182,0.9781818181818182,0.9672254886381694,0.9965835054822819,1.8199861684211625,2.8862165973694105,1.3740389337541599,1.3925314778407492,0.9889965074894321,0.28472727272727266,0.13636363636363633,0.022181818181818136
89,89,0.9781818181818182,0.978319633647776,0.9732818284242717,0.9943666505713825,1.6222023164410855,3.177333348052401,1.3964714303345336,0.8917253104017414,1.5418609202815408,0.30145454545454536,0.15054545454545448,0.018909090909090865
90,90,0.9818181818181818,0.9816248602350159,0.9613636363636364,0.9979338842975207,1.9888948626575256,3.157471458267754,0.7667501847852116,1.6276887785312213,0.9568306444896402,0.27272727272727276,0.12981818181818183,0.025090909090909087
91,91,0.9818181818181818,0.9818594182230546,0.9785625517812759,0.997859707263187,1.899027600581334,2.86787145846198,1.0781448831108613,1.489635013254678,1.1977135177637523,0.35818181818181816,0.1269090909090909,0.026909090909090883
92,92,0.9781818181818182,0.9777786337955832,0.9516129032258065,0.9985612600333182,2.0578484534903785,2.513029717265366,1.285790824673375,0.46352419556520363,1.7752452466543984,0.2825454545454545,0.13454545454545452,0.01927272727272724
93,93,0.9745454545454545,0.9746356712842651,0.9626891041985381,0.9974502804691484,1.6307941326401996,2.128154092517557,1.6634694994768557,1.7896092209605972,1.323417858874036,0.2712727272727272,0.10218181818181811,0.012727272727272688
94,94,0.9854545454545455,0.9855464224318508,0.9843473362304844,0.9991952357959119,1.8696762687786412,2.70030706540495,1.8528741377545566,0.3492260384737825,1.530667415378789,0.2883636363636364,0.14727272727272728,0.014909090909090917
