,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd2_scaled,feature_importance.backtop_humidity_fd3_scaled
20,20,0.7793427230046949,0.6928104575163399,0.7549856270212001,0.881692418253683,0.005164319248826321,-0.030046948356807546,-0.007042253521126862,-0.07793427230046934,0.017370892018779394,-0.04084507042253516,-0.08450704225352113,-0.10093896713615014,0.0,0.012206572769953072,0.006103286384976592,0.018779342723004744
21,21,0.8544600938967136,0.8165680473372781,0.8419421487603306,0.9168163851958319,0.14976525821596254,-0.022065727699530524,-0.023474178403755763,-0.017370892018779394,0.05633802816901412,-0.029107981220657164,-0.04788732394366202,-0.05586854460093893,-0.028638497652582195,0.034741784037558676,0.011737089201877993,0.028169014084507005
22,22,0.863849765258216,0.8323699421965318,0.8541142651814588,0.9319080129356809,0.07511737089201875,-0.004225352112676051,0.0014084507042253502,-0.007042253521126751,0.009859154929577452,-0.017840375586854362,-0.028638497652581973,-0.027699530516431814,0.015023474178403773,0.012676056338028152,0.03661971830985922,0.025352112676056415
23,23,0.8450704225352113,0.8,0.8297700323392023,0.9360402443406395,0.06760563380281681,-0.029577464788732577,0.014553990610328693,-0.0483568075117371,0.034272300469483596,-0.05117370892018791,-0.05164319248826299,-0.06431924882629114,0.03333333333333344,0.014084507042253613,0.004694835680751019,0.04600938967136148
24,24,0.7511737089201878,0.6442953020134228,0.7236794825727633,0.9107078692058929,0.00657276995305156,-0.007981220657277133,-0.015962441314553932,-0.04507042253521121,0.0023474178403755097,-0.039906103286385,-0.07793427230046945,-0.039906103286385,-0.015492957746478853,-0.017840375586854473,0.017370892018779283,0.0046948356807511304
25,25,0.8075117370892019,0.7421383647798742,0.787594322673374,0.8725296442687746,0.018309859154929553,0.010798122065727722,-0.04600938967136148,-0.027230046948356956,0.022535211267605715,-0.0370892018779343,-0.06384976525821595,-0.06056338028169028,-0.020187793427230094,0.018779342723004633,0.008450704225352101,-0.00422535211267594
26,26,0.7981220657276995,0.7295597484276729,0.7780273086597198,0.9154689184333454,0.004225352112676051,-0.04413145539906105,-0.03849765258215965,-0.03849765258215965,0.025821596244131273,-0.04553990610328651,-0.0854460093896715,-0.08873239436619729,0.007042253521126751,-0.0014084507042254613,-0.0032863849765258912,-0.006103286384976481
27,27,0.9014084507042254,0.88268156424581,0.8962899748472871,0.9128638160258714,0.20563380281690158,0.013615023474178423,0.05539906103286374,0.020657276995305174,0.06338028169014098,0.00046948356807519076,0.0028169014084505895,-0.0023474178403756207,-0.00046948356807507974,0.032863849765258135,0.023943661971830954,0.010798122065727722
28,28,0.8403755868544601,0.7951807228915663,0.8256378009342435,0.920499461013295,0.03380281690140852,-0.029577464788732244,-0.036619718309859106,-0.00704225352112664,0.05586854460093904,-0.00375586854460086,-0.034741784037558676,-0.0596244131455399,0.021596244131455555,0.009389671361502372,0.0065727699530516714,0.015023474178403773
29,29,0.7934272300469484,0.717948717948718,0.7712899748472871,0.9208587854832914,0.009859154929577452,-0.03568075117370906,-0.022065727699530635,-0.04178403755868543,0.008450704225352212,-0.0624413145539906,-0.08450704225352124,-0.07981220657276988,0.005164319248826321,-0.0065727699530516714,0.0065727699530516714,0.007511737089201942
30,30,0.8075117370892019,0.7421383647798742,0.787594322673374,0.9318181818181819,0.05727699530516428,-0.024413145539906145,-0.00328638497652578,-0.05868544600938974,0.0028169014084507005,-0.03380281690140852,-0.0877934272300469,-0.07981220657276988,-0.022535211267605493,0.0023474178403756207,0.010328638497652531,0.010798122065727722
31,31,0.8544600938967136,0.8165680473372781,0.8419421487603306,0.9317283507006826,0.12488262910798109,-0.020657276995305174,-0.020187793427229983,-0.03521126760563398,0.031924882629107976,-0.04835680751173721,-0.04553990610328651,-0.05633802816901412,0.018309859154929664,0.032863849765258246,-0.003755868544600749,0.030985915492957594
32,32,0.8262910798122066,0.7757575757575758,0.8106360043118936,0.8690262306863097,0.018779342723004855,-0.007981220657277022,0.0065727699530517825,-0.011737089201877993,0.05586854460093904,-0.007981220657277022,-0.011267605633802802,-0.028638497652582195,-0.018779342723004744,0.0065727699530517825,0.0023474178403756207,0.03943661971831003
