,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled
83,83,0.7853881278538812,0.7431693989071039,0.7790140362889422,0.8779527559055118,0.31780821917808216
84,84,0.7488584474885844,0.7236180904522613,0.7535090722355358,0.8666552550496405,0.29680365296803646
85,85,0.7442922374429224,0.7171717171717171,0.7480742896268402,0.8513351591920575,0.304109589041096
86,86,0.7168949771689498,0.7155963302752294,0.734936665525505,0.8717904827114002,0.2885844748858448
87,87,0.817351598173516,0.7752808988764045,0.8080708661417323,0.890277302293735,0.35296803652968034
88,88,0.7488584474885844,0.7393364928909952,0.7624957206436151,0.8634029441971929,0.33059360730593607
89,89,0.7442922374429224,0.711340206185567,0.7450787401574803,0.8603218076001369,0.3000000000000001
90,90,0.817351598173516,0.7777777777777778,0.8095686408764122,0.889335843889079,0.38538812785388127
91,91,0.8401826484018264,0.7928994082840237,0.8247603560424512,0.9012324546388224,0.3525114155251142
92,92,0.7442922374429224,0.7281553398058253,0.7540653885655597,0.8377268058883944,0.2789954337899544
93,93,0.863013698630137,0.8404255319148937,0.8624186922286888,0.9054262238959261,0.4429223744292237
