,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled
207,207,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8590579710144929,0.040073529411764675
208,208,0.6617647058823529,0.0,0.5,0.8647946859903382,-1.1102230246251565e-16
209,209,0.7132352941176471,0.2777777777777778,0.578743961352657,0.8591787439613527,0.05147058823529416
210,210,0.6617647058823529,0.0,0.5,0.8618357487922705,-1.1102230246251565e-16
211,211,0.6617647058823529,0.0,0.5,0.8618961352657005,-1.1102230246251565e-16
212,212,0.6764705882352942,0.08333333333333333,0.5217391304347826,0.8634057971014493,0.014705882352941124
213,213,0.7022058823529411,0.22857142857142856,0.56243961352657,0.8579710144927538,0.04044117647058809
214,214,0.6617647058823529,0.0,0.5,0.863768115942029,-1.1102230246251565e-16
215,215,0.6617647058823529,0.0,0.5,0.8648550724637681,-1.1102230246251565e-16
216,216,0.6617647058823529,0.0,0.5,0.8614734299516909,-1.1102230246251565e-16
217,217,0.7095588235294118,0.2616822429906542,0.5733091787439614,0.8611714975845413,0.04852941176470593
218,218,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8579710144927537,0.04117647058823515
219,219,0.6617647058823529,0.0,0.5,0.8634057971014493,-1.1102230246251565e-16
220,220,0.6617647058823529,0.0,0.5,0.8605072463768116,-1.1102230246251565e-16
221,221,0.6617647058823529,0.0,0.5,0.8609903381642513,-1.1102230246251565e-16
222,222,0.6617647058823529,0.0,0.5,0.8643115942028985,-1.1102230246251565e-16
223,223,0.6617647058823529,0.0,0.5,0.8631038647342993,-1.1102230246251565e-16
224,224,0.6617647058823529,0.0,0.5,0.8623188405797102,-1.1102230246251565e-16
225,225,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8609299516908213,0.04044117647058809
226,226,0.6617647058823529,0.0,0.5,0.8655797101449275,-1.1102230246251565e-16
227,227,0.6985294117647058,0.21153846153846154,0.5570048309178744,0.8589371980676329,0.03676470588235281
228,228,0.6617647058823529,0.0,0.5,0.8630434782608695,-1.1102230246251565e-16
229,229,0.6617647058823529,0.0,0.5,0.8629830917874396,-1.1102230246251565e-16
230,230,0.6617647058823529,0.0,0.5,0.860144927536232,-1.1102230246251565e-16
