,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled
239,239,0.7442922374429224,0.7254901960784313,0.7525676138308799,0.8484251968503936,0.2876712328767123
240,240,0.7442922374429224,0.7307692307692307,0.7555631633002396,0.8694796302636083,0.30776255707762556
241,241,0.7808219178082192,0.76,0.7870592262923657,0.8577541937692571,0.34840182648401824
242,242,0.8036529680365296,0.7794871794871795,0.8067442656624444,0.9026018486819581,0.3602739726027397
243,243,0.7351598173515982,0.7211538461538461,0.7461913728175282,0.8740157480314961,0.2949771689497718
244,244,0.6757990867579908,0.6844444444444444,0.6980058199246834,0.796388223211229,0.24748858447488586
245,245,0.776255707762557,0.7562189054726368,0.78312221841835,0.8806915439917836,0.3520547945205479
246,246,0.7579908675799086,0.7414634146341463,0.7673741869222869,0.8711057856898322,0.31552511415525114
247,247,0.8538812785388128,0.8297872340425532,0.8530469017459774,0.8942143101677508,0.4063926940639269
248,248,0.7351598173515982,0.7128712871287128,0.7416980486134885,0.8557856898322492,0.2940639269406393
249,249,0.776255707762557,0.7537688442211056,0.7816244436836699,0.8722184183498802,0.3488584474885845
