,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled
51,51,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9460623461853979,0.0808764940239044,0.14501992031872502,0.04980079681274907,0.004382470119521864
52,52,0.8446215139442231,0.8133971291866029,0.8613275909215203,0.9492753623188406,0.21832669322709164,-0.01035856573705174,0.044223107569721254,0.017529880478087678
53,53,0.6334661354581673,0.0,0.5,0.9339622641509434,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
54,54,0.8286852589641435,0.7361963190184049,0.7914957615531857,0.9461990702761828,0.035458167330677304,0.0035856573705178585,0.004780876494023922,0.011155378486055856
55,55,0.8725099601593626,0.8490566037735849,0.8947908121410992,0.9796964725184578,0.021115537848605537,0.34382470119521913,0.3175298804780877,0.28167330677290836
56,56,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9476346732294231,0.03426294820717135,0.0362549800796812,0.019920318725099695,-0.0035856573705179695
57,57,0.6334661354581673,0.0,0.5,0.8480995351380913,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
58,58,0.6334661354581673,0.0,0.5,0.8999863275909216,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
59,59,0.7768924302788844,0.654320987654321,0.7345843587640142,0.8982772764561116,0.094820717131474,-0.009960159362549792,0.015936254980079667,0.015537848605577609
60,60,0.6334661354581673,0.0,0.5,0.9356713152857534,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
61,61,0.6334661354581673,0.0,0.5,0.9424391577796007,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
62,62,0.6334661354581673,0.0,0.5,0.8463221219578889,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
63,63,0.8127490039840638,0.7589743589743589,0.8109789444900192,0.8731200437517092,0.2980079681274902,0.0019920318725100694,0.01912350597609569,0.014741035856573714
64,64,0.6334661354581673,0.0,0.5,0.940251572327044,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
65,65,0.8924302788844621,0.8656716417910447,0.9036436970194148,0.9779874213836479,0.04063745019920317,0.22788844621513937,0.21474103585657367,0.12151394422310757
66,66,0.6972111553784861,0.5189873417721519,0.6442097347552639,0.8487147935466229,0.06334661354581672,0.0019920318725099584,-0.026294820717131517,0.014342629482071656
