,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled
107,107,0.8645418326693227,0.8425925925925926,0.890791632485644,0.8979354662291497,0.47290836653386453
108,108,0.9083665338645418,0.8855721393034826,0.9208025704129068,0.9747060432048127,0.4593625498007968
109,109,0.8446215139442231,0.8151658767772512,0.8636177194421657,0.9308859721082856,0.4454183266932271
110,110,0.8207171314741036,0.7540983606557377,0.8058176100628931,0.895064260322669,0.37211155378486066
111,111,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9353978671041838,0.4892430278884462
112,112,0.8406374501992032,0.8095238095238095,0.8581829368334701,0.9038146021328959,0.4713147410358566
113,113,0.6334661354581673,0.0,0.5,0.9130434782608695,-1.1102230246251565e-16
114,114,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9207683893902106,0.403585657370518
115,115,0.852589641434263,0.8262910798122066,0.874487284659557,0.9356713152857534,0.47768924302788845
116,116,0.852589641434263,0.8262910798122066,0.874487284659557,0.9378589007383101,0.4446215139442231
117,117,0.6334661354581673,0.0,0.5,0.9307150669948044,-1.1102230246251565e-16
118,118,0.6334661354581673,0.16363636363636364,0.520611156685808,0.8971151216844409,-1.1102230246251565e-16
119,119,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.944353295050588,0.48685258964143424
120,120,0.6334661354581673,0.0,0.5,0.9168375717801477,-1.1102230246251565e-16
121,121,0.6334661354581673,0.0,0.5,0.10350013672409077,-1.1102230246251565e-16
122,122,0.8685258964143426,0.847926267281106,0.8962264150943396,0.905728739403883,0.47330677290836654
123,123,0.8207171314741036,0.7804878048780488,0.8310090237899919,0.8989608969100356,0.3980079681274901
124,124,0.8446215139442231,0.8151658767772512,0.8636177194421657,0.918444079846869,0.37131474103585665
125,125,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9282882143833744,0.4278884462151395
126,126,0.8924302788844621,0.864321608040201,0.9013535684987695,0.9746376811594203,0.42350597609561746
127,127,0.6334661354581673,0.0,0.5,0.9453103636860815,-1.1102230246251565e-16
128,128,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9165983046212743,0.4709163346613546
129,129,0.6334661354581673,0.02127659574468085,0.5022901285206454,0.9001230516817063,-1.1102230246251565e-16
130,130,0.6254980079681275,0.0784313725490196,0.5028712059064807,0.9025840853158327,-0.007968127490039945
131,131,0.6334661354581673,0.0,0.5,0.9254170084768936,-1.1102230246251565e-16
132,132,0.6334661354581673,0.0,0.5,0.9011484823625923,-1.1102230246251565e-16
133,133,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9154019688269074,0.4900398406374502
134,134,0.6334661354581673,0.16363636363636364,0.520611156685808,0.8984823625922888,-1.1102230246251565e-16
135,135,0.6334661354581673,0.0,0.5,0.8338118676510802,-1.1102230246251565e-16
136,136,0.852589641434263,0.8262910798122066,0.874487284659557,0.9224090784796282,0.4645418326693227
137,137,0.6334661354581673,0.0,0.5,0.9548810500410172,-1.1102230246251565e-16
138,138,0.900398406374502,0.8717948717948718,0.9053527481542247,0.9755263877495215,0.4924302788844621
139,139,0.6334661354581673,0.0,0.5,0.9068225321301613,-1.1102230246251565e-16
140,140,0.852589641434263,0.8262910798122066,0.874487284659557,0.9398072190319935,0.48127490039840637
