,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_humidity_scaled
157,157,0.8401486988847584,0.7455621301775148,0.802843281748956,0.8126995824121839,0.12639405204460974,-0.0022304832713753164,-0.009665427509293556
158,158,0.8884758364312267,0.8214285714285714,0.855225988700565,0.8380619012527635,0.3724907063197026,0.014498141263940556,0.026765799256505463
159,159,0.8847583643122676,0.8121212121212121,0.8471812822402358,0.827376565954311,0.31561338289962815,0.007806691449814052,0.06059479553903335
160,160,0.8773234200743495,0.7950310559006211,0.833701793171211,0.8434659788749693,0.3092936802973978,0.004832713754647,0.019702602230483257
161,161,0.8773234200743495,0.7950310559006211,0.833701793171211,0.8233235077376565,0.3780669144981414,0.006319702602230692,0.07657992565055771
162,162,0.8401486988847584,0.7189542483660131,0.7819638909358879,0.7995578481945468,0.39591078066914503,0.007806691449814163,0.0866171003717473
163,163,0.8698884758364313,0.779874213836478,0.8228322279538197,0.8391058707934169,0.39033457249070636,0.017100371747211907,0.1070631970260224
164,164,0.8587360594795539,0.7710843373493976,0.8195774993859002,0.8183492999263081,0.20483271375464684,0.01152416356877306,0.02118959107806684
165,165,0.8773234200743495,0.7924528301886793,0.8310918693195775,0.8126381724392042,0.3386617100371748,0.021933085501858796,0.07249070631970256
166,166,0.8587360594795539,0.7532467532467533,0.8039179562760992,0.7997420781134856,0.3877323420074349,0.019702602230483257,0.09219330855018582
167,167,0.8736059479553904,0.7848101265822784,0.8256570867108819,0.7831613854089904,0.42304832713754653,0.05501858736059484,0.13791821561338302
168,168,0.862453531598513,0.7672955974842768,0.8145725865880619,0.8174281503316139,0.3635687732342008,0.044609665427509215,0.1412639405204461
169,169,0.8550185873605948,0.7483870967741936,0.8010930975190371,0.8158929010071235,0.36394052044609665,-0.013754646840148821,0.06765799256505578
170,170,0.8773234200743495,0.7975460122699386,0.8363117170228445,0.8114713829525915,0.3654275092936803,0.010408921933085513,0.07620817843866179
171,171,0.8550185873605948,0.7607361963190185,0.8115327929255711,0.8200073691967574,0.1702602230483271,0.012639405204461052,0.01115241635687736
172,172,0.8810408921933085,0.8117647058823529,0.8495762711864407,0.8391672807663966,0.33420074349442375,0.008178438661709975,0.038289962825278856
173,173,0.8810408921933085,0.8,0.8365266519282731,0.8331491034143944,0.33903345724907064,0.02156133828996276,0.08104089219330846
174,174,0.8736059479553904,0.7848101265822784,0.8256570867108819,0.8319209039548022,0.41003717472118956,0.024535315985130035,0.09776951672862466
175,175,0.8587360594795539,0.7532467532467533,0.8039179562760992,0.8130066322770818,0.34237918215613394,0.01263940520446094,0.0780669144981413
176,176,0.8513011152416357,0.7402597402597403,0.7956583149103414,0.8288504053058217,0.3200743494423792,0.00037174721189581206,0.049442379182156104
177,177,0.8513011152416357,0.7402597402597403,0.7956583149103414,0.8072340948169983,0.37249070631970255,0.02230483271375472,0.06133828996282531
178,178,0.8736059479553904,0.7848101265822784,0.8256570867108819,0.8334561532792925,0.3267657992565056,0.02118959107806695,0.04907063197026018
179,179,0.8810408921933085,0.8024691358024691,0.8391365757799067,0.8155858511422256,0.3605947955390334,0.014126394052044522,0.09553903345724901
180,180,0.8550185873605948,0.7636363636363637,0.8141427167772046,0.8284205354949642,0.15724907063197024,0.008178438661709864,0.0029739776951673846
181,181,0.8773234200743495,0.7975460122699386,0.8363117170228445,0.8171211004667158,0.4033457249070633,0.023048327137546565,0.14386617100371757
182,182,0.8810408921933085,0.8095238095238095,0.8469663473348071,0.8212355686563498,0.40334572490706316,0.013382899628252787,0.04981412639405214
183,183,0.8921933085501859,0.8242424242424242,0.8554409236059937,0.8354826823876198,0.4018587360594795,0.014126394052044522,0.045724907063196985
184,184,0.8698884758364313,0.779874213836478,0.8228322279538197,0.8267624662245149,0.38289962825278806,0.0070631970260222054,0.12527881040892208
185,185,0.8327137546468402,0.7305389221556886,0.7919737165315647,0.8209285187914517,0.07174721189591082,-0.0029739776951671626,0.0011152416356876582
186,186,0.862453531598513,0.7672955974842768,0.8145725865880619,0.8150945713583886,0.3605947955390334,-0.0074349442379181285,-0.0070631970260222054
187,187,0.8438661710037175,0.7529411764705882,0.8082780643576517,0.824981577008106,0.13382899628252798,-0.003717472118959231,-0.011895910780668983
188,188,0.8698884758364313,0.779874213836478,0.8228322279538197,0.8295259150085974,0.3669144981412641,0.006691449814126282,0.10817843866170995
189,189,0.8847583643122676,0.8165680473372781,0.8524011299435028,0.8476418570375829,0.34981412639405207,0.015985130111524137,0.013754646840148821
