,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_humidity_scaled
178,178,0.6166666666666667,0.0,0.5,0.9408049353701528,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
179,179,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9358842538190364,0.21166666666666667,0.06499999999999995,0.028333333333333433
180,180,0.8166666666666667,0.6986301369863014,0.7670387779083432,0.952262044653349,0.1037499999999999,0.050000000000000044,-0.015833333333333255
181,181,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9426410105757932,0.18041666666666667,0.07124999999999992,0.006249999999999867
182,182,0.8958333333333334,0.8633879781420765,0.888807285546416,0.9400705052878966,0.15500000000000003,0.05750000000000011,0.030000000000000027
183,183,0.8916666666666667,0.8586956521739131,0.8854289071680377,0.9496915393654525,0.15666666666666673,0.05541666666666667,0.02083333333333337
184,184,0.8791666666666667,0.8304093567251462,0.8588425381903643,0.9427144535840188,0.1679166666666666,0.07458333333333345,0.018333333333333424
185,185,0.6166666666666667,0.0,0.5,0.9372062279670976,-0.0016666666666667052,-0.0016666666666667052,0.0008333333333332416
186,186,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9444770857814336,0.235,0.0658333333333333,0.019166666666666554
187,187,0.8541666666666666,0.7904191616766467,0.8282902467685076,0.9441098707403055,0.10458333333333336,0.08541666666666659,0.0025000000000000577
188,188,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9420534665099882,0.17999999999999994,0.06958333333333344,-1.1102230246251565e-16
189,189,0.8875,0.847457627118644,0.8738249118683901,0.943816098707403,0.2170833333333333,0.04958333333333331,0.0012499999999998623
190,190,0.7125,0.4297520661157025,0.6311692126909518,0.9430082256169212,0.05791666666666673,0.04916666666666669,0.022916666666666696
191,191,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.94403642773208,0.20499999999999996,0.08708333333333329,0.002083333333333326
192,192,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.940951821386604,0.1658333333333334,0.07708333333333328,-1.1102230246251565e-16
193,193,0.8833333333333333,0.8461538461538461,0.8745593419506463,0.9499118683901293,0.12,0.06250000000000011,0.01416666666666666
194,194,0.8958333333333334,0.8633879781420765,0.888807285546416,0.9523354876615746,0.15625,0.05999999999999994,0.03875000000000006
195,195,0.8583333333333333,0.7926829268292683,0.8296122209165688,0.9496180963572268,0.11041666666666672,0.061249999999999916,0.009583333333333166
196,196,0.9,0.8695652173913043,0.8942420681551116,0.9463131609870741,0.1858333333333333,0.06208333333333316,0.04416666666666669
197,197,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.939409518213866,0.21291666666666675,0.06458333333333333,0.0050000000000000044
198,198,0.8708333333333333,0.8165680473372781,0.847972972972973,0.9412455934195064,0.15833333333333344,0.06666666666666676,0.05291666666666661
199,199,0.9,0.8709677419354839,0.8962984723854289,0.9446974148061105,0.16708333333333336,0.0591666666666667,-0.007083333333333219
200,200,0.9,0.8723404255319149,0.8983548766157461,0.9533636897767332,0.1020833333333333,0.11250000000000004,0.011250000000000093
201,201,0.8333333333333334,0.7368421052631579,0.790834312573443,0.9421269095182138,0.13583333333333336,0.06333333333333335,0.0804166666666668
202,202,0.8791666666666667,0.8361581920903954,0.8650117508813161,0.9457256169212691,0.11166666666666669,0.057916666666666616,0.018749999999999822
203,203,0.8958333333333334,0.8633879781420765,0.888807285546416,0.9368390129259694,0.1708333333333334,0.0625,0.039583333333333415
204,204,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.9443301997649823,0.17208333333333325,0.05208333333333326,0.05833333333333346
205,205,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9430816686251469,0.16541666666666677,0.07458333333333345,0.012916666666666687
206,206,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9471944770857814,0.1708333333333334,0.06250000000000011,-0.003750000000000031
207,207,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9395564042303173,0.14500000000000002,0.057916666666666616,-0.006666666666666599
208,208,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9388954171562868,0.1841666666666667,0.060833333333333295,0.006249999999999867
209,209,0.8083333333333333,0.6805555555555556,0.7561692126909518,0.9454318448883667,0.11624999999999996,0.060416666666666785,0.030416666666666536
