,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_temperature_fd3_scaled,feature_importance.frontlow_humidity_fd3_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_humidity_fd2_scaled
59,59,0.9300411522633745,0.9305401735713525,0.9290123456790124,0.9833866788599299,2.5470043653248564,0.6766733589710126,1.19312656711681,1.689299235702975,0.8764830183414473,0.17777777777777776,0.051440329218106984,0.030452674897119315,0.016049382716049398,0.0,0.008641975308641947,-0.0020576131687242817,0.0020576131687242705
60,60,0.9588477366255144,0.9588477366255144,0.9542545180722892,0.9890813253012049,2.0436196047791912,0.5870964252667618,1.9464779993252792,2.148408284367419,0.4858994957318173,0.1950617283950617,0.08518518518518516,0.04814814814814813,0.00905349794238679,0.0016460905349794165,0.03209876543209873,0.005349794238683103,0.0016460905349794052
61,61,0.9423868312757202,0.9428879096633448,0.9443251533742332,0.9844325153374234,2.5078956031104274,0.5960290416758168,1.6638342121812848,1.6164626191478426,0.6418261642767458,0.18395061728395062,0.05226337448559676,0.045267489711934214,0.01111111111111116,0.00534979423868317,0.01316872427983543,-0.0028806584362139342,0.014403292181070004
62,62,0.9135802469135802,0.9151320697062021,0.9228438228438228,0.9695415695415694,2.3681530521833967,0.3796597934059256,2.008209293794864,1.5576658903414495,0.939241432347934,0.18847736625514397,0.06584362139917689,0.007407407407407374,-0.001646090534979483,0.00411522633744853,-0.001646090534979483,-0.005761316872428046,-0.0061728395061729
63,63,0.934156378600823,0.9348240237129125,0.9339285714285714,0.9819841269841271,1.8319152568895904,0.7447583809140104,1.8563475815214652,2.1263161559127366,0.5280081683476517,0.20493827160493824,0.05720164609053495,0.04855967078189298,0.005349794238683115,0.008641975308641936,0.010288065843621363,0.01481481481481477,0.006584362139917666
64,64,0.9094650205761317,0.909789582628116,0.8976190476190476,0.9638888888888889,1.318064706011673,1.0582626997801965,1.7187195842152263,1.9553137001459877,0.912879502169764,0.1666666666666666,0.06378600823045263,0.005761316872427968,0.013991769547325072,0.004115226337448541,-0.002880658436214012,-1.1102230246251566e-17,0.004115226337448541
65,65,0.934156378600823,0.9348258760774726,0.9384036144578314,0.9779367469879519,1.5117798612737399,1.0937253296270502,2.0180531816726415,2.190328584359249,0.12930229871238924,0.17530864197530857,0.08641975308641972,0.04485596707818927,-0.0004115226337448874,0.004115226337448541,0.004115226337448541,0.007818930041152227,-0.007818930041152305
66,66,0.9506172839506173,0.9508190627903889,0.9517061885482938,0.9850347021399652,2.9126845324183623,0.7415244563955616,1.6211865124581655,2.075444399269457,-0.28229565426838665,0.20164609053497945,0.08930041152263375,0.07119341563786008,0.013991769547325117,0.011111111111111127,0.015226337448559713,-0.004526748971193395,0.0024691358024691245
67,67,0.9588477366255144,0.9587321923101099,0.95204765450484,0.9891288160833954,1.9535506989136795,0.7338750336288788,2.2984696312023702,1.789791214984977,0.16040062593770982,0.17530864197530857,0.06255144032921808,0.03662551440329215,0.022633744855967065,0.013580246913580197,0.008641975308641936,0.011522633744855914,0.006172839506172811
68,68,0.9218106995884774,0.9223864350205644,0.9194401840490798,0.9699386503067485,1.8302403221883157,0.26675669203604185,1.566515639547293,2.549408944884261,1.1204816537211248,0.2049382716049383,0.08189300411522635,0.016872427983539127,0.017695473251028847,0.014403292181069971,0.020164609053497963,0.0037037037037037203,0.003292181069958855
