,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_CO2_fd2_scaled
59,59,0.9672727272727273,0.9671536553334305,0.9438211796702363,0.9961754207037226,2.2486022608727017,1.6790171139224275,1.7423397814748467,1.7188088426189168,0.3653913794385657,0.19563636363636366,0.0181818181818182,-0.0025454545454545287,-0.0021818181818181958
60,60,0.9563636363636364,0.9567123647528197,0.9324981644640236,0.9920154185022025,1.8462216834872358,2.1728141017947107,1.619332396872691,0.8609285154693213,1.120961849004053,0.17454545454545461,0.0447272727272728,2.2204460492503132e-17,-0.0032727272727272163
61,61,0.9672727272727273,0.9671437210239873,0.9411111111111111,0.9928,2.502669289819288,2.1154783609396306,1.8029786633193134,0.8409919790184035,0.23369830146453532,0.2065454545454546,0.04545454545454547,0.007272727272727297,-0.0025454545454545396
62,62,0.9672727272727273,0.967147155695525,0.9420518207282913,0.9962359943977591,1.5504170858682882,1.2818796038952038,2.2570316543995537,1.2371721190901925,1.044731966327447,0.19454545454545458,0.015272727272727271,0.004727272727272758,-0.00436363636363637
63,63,0.96,0.9598423256959843,0.9288888888888889,0.9914666666666667,1.7208452109495658,1.6710590984835487,2.6938758928279536,0.37855824328039317,1.1586437851186737,0.19709090909090907,0.007636363636363575,0.0010909090909090424,0.002545454545454484
64,64,0.9745454545454545,0.9746333584865695,0.963172448466566,0.9957264957264957,3.255317858799547,1.154573784815949,1.728509427341641,0.815368600815518,0.696119879991897,0.20618181818181816,0.0323636363636363,0.005454545454545379,-0.001454545454545464
65,65,0.9636363636363636,0.9633819339701694,0.9363636363636363,0.9968595041322315,1.9094319198364695,1.8720262029106576,1.9494709350299895,1.4836518995644112,0.1355678027608486,0.2134545454545454,0.0036363636363636155,0.0014545454545454527,-0.003272727272727294
66,66,0.9563636363636364,0.9557685950413224,0.9206502494769033,0.9907452116529856,1.8650127618710894,1.815130102784405,2.1036286998971794,1.5097031626188044,0.3641273018952552,0.21781818181818186,0.048000000000000057,0.001454545454545464,-0.002545454545454484
67,67,0.9854545454545455,0.9855808895869652,0.9823671497584541,0.9976811594202899,1.800311441263635,1.7653004346708514,1.8714020041420236,1.090704675772919,0.9643874751057632,0.20545454545454547,0.03963636363636365,-0.0010909090909090979,-0.0025454545454545617
68,68,0.9636363636363636,0.9638975167277055,0.9480855467402554,0.9914625733011384,2.2282249379128776,1.6793546442359137,1.3214284346808272,2.0627737725579443,0.5167889768627598,0.20872727272727273,0.014545454545454528,0.01527272727272726,0.006909090909090865
69,69,0.9709090909090909,0.9704441197235129,0.9367121848739496,0.9958858543417367,2.6691392014042465,1.8244537148737294,2.3569798457100375,-0.2105814142331037,0.9013620084169136,0.1923636363636364,0.04254545454545459,-0.00545454545454539,-0.0072727272727272085
70,70,0.9709090909090909,0.9709090909090909,0.9545454545454546,0.9958677685950413,2.0145445012271255,2.188635257085504,1.803093802217504,0.7163182652677718,0.9379591684662284,0.21345454545454548,0.043636363636363674,0.0043636363636363916,0.000363636363636366
71,71,0.9527272727272728,0.9519712870837309,0.9156976744186046,0.9942635658914728,2.0797923775481038,1.9264383050825582,2.0630806538143767,1.4523986261605468,0.2347884344731451,0.2123636363636364,0.021090909090909125,-0.011999999999999955,-0.009818181818181771
72,72,0.9672727272727273,0.9671536553334305,0.9438211796702363,0.9948155702872684,2.674854512969766,1.6994272511577089,1.9119167109665307,0.0230171346900514,1.2702203401111054,0.21636363636363637,0.036363636363636376,0.008000000000000018,0.004727272727272735
73,73,0.9490909090909091,0.9490909090909091,0.919348081112787,0.9909502262443439,2.527140633004023,2.199226193120077,1.9465312169953561,0.9446909719746398,-0.07349489515727194,0.18,-0.004000000000000015,0.001454545454545464,-0.007636363636363652
74,74,0.9527272727272728,0.9522736813411475,0.9206293157564345,0.9921531701192718,2.5855720293056397,2.151258423877039,2.322842860516493,0.18981975738508258,0.33171318080542667,0.21490909090909094,-0.009090909090909061,-0.004727272727272702,-0.005454545454545434
75,75,0.9672727272727273,0.9668857085265067,0.9344800420168067,0.9941351540616247,2.4870792321597692,1.3825089694874302,2.057333554976948,0.7570518525689292,0.884837051839001,0.19381818181818183,0.04436363636363638,0.0,0.000727272727272732
76,76,0.9527272727272728,0.9522499762135298,0.9183566714952519,0.9898599710284888,2.204234134892551,1.8619212392609987,2.0387853102471105,0.9153329280193433,0.8448417037740438,0.21927272727272729,0.034909090909090945,0.004000000000000026,-0.0010909090909090979
77,77,0.9745454545454545,0.9744333226686167,0.9499715207898234,0.9968672868805772,2.089325278713897,1.519185136594078,2.193653278846725,0.47684889717333756,1.1582115844390601,0.1832727272727272,0.049454545454545404,0.020363636363636285,0.005090909090909012
78,78,0.9709090909090909,0.9711767020857931,0.9543404170008019,0.9735364875701683,2.4924862573881286,1.8937026261007923,1.603648121154866,1.5926963672353367,-0.10072486667302413,0.17309090909090913,0.017454545454545466,0.016000000000000025,0.006545454545454588
79,79,0.9636363636363636,0.9636363636363636,0.9460530445699937,0.9933301946013811,2.3842171906326732,2.1071990863333836,2.6426319186633167,0.051935837287416506,0.5245494991622903,0.21636363636363637,0.009454545454545415,0.005454545454545434,-0.011272727272727257
