,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_temperature_scaled
86,86,0.9709090909090909,0.9707507539853512,0.9543956043956044,0.9972893772893773,2.2161179333920984,0.49917517243326615,1.9802267185810372,1.4985603066758437,2.2350649299733774,0.2821818181818182,0.044363636363636404,0.013454545454545474
87,87,0.9745454545454545,0.9748960876989022,0.9777845870997395,0.9958633369082274,1.938759030778597,0.6936534291974463,1.7293457842807123,2.5506478519572187,1.2384199066454575,0.29963636363636353,0.026545454545454504,0.013090909090909042
88,88,0.9745454545454545,0.9746248414146798,0.9649213411727315,0.9964245987605276,2.457975260099772,-0.1167532983292483,2.348956253760228,1.8216320342251673,1.507564568210822,0.25236363636363623,0.03818181818181813,0.01236363636363631
89,89,0.9709090909090909,0.9709090909090909,0.9557379687751488,0.9958957025591502,2.102231689290378,0.2797579595479083,1.823575494364671,1.3978548279113865,2.7799275308930547,0.2494545454545455,0.04400000000000005,0.017818181818181844
90,90,0.9818181818181818,0.9816248602350159,0.9613636363636364,0.9967768595041322,2.3284796890456883,0.13664407951132923,1.1895382345955732,2.572917819703388,2.0218972833069793,0.2483636363636364,0.05199999999999998,0.021818181818181827
91,91,0.9745454545454545,0.9744863082260992,0.9644780447390224,0.9968931234465617,2.3532902476340953,0.3929858512093859,1.5025968093173183,2.5162846403550336,1.600293469973867,0.3363636363636363,0.02618181818181812,0.021090909090909004
92,92,0.9709090909090909,0.970371511727444,0.9412009692563986,0.9975768590034833,2.5328874623926585,0.5763266740184582,1.7403651783865821,1.2029441275379882,1.8407187616242449,0.2709090909090909,0.03563636363636367,0.010909090909090946
93,93,0.9890909090909091,0.9891295734075423,0.9860615332313445,0.9983001869794322,2.1316630483710504,0.8434947819366782,2.487123665977899,1.7167820955421056,0.9828505579645676,0.25600000000000006,0.045090909090909126,0.02254545454545459
94,94,0.9781818181818182,0.978319633647776,0.9732818284242717,0.9980685659101883,2.224746023424048,0.3189366672989395,1.8708382875144618,2.3810155732109983,1.2675677687802116,0.2672727272727272,0.029090909090909056,0.006545454545454532
95,95,0.96,0.9598618652353907,0.9340909090909091,0.9938842975206611,2.4653082194866025,0.5712660262798691,2.2765266971057208,1.964218465705524,0.7706392920182128,0.23236363636363638,0.029454545454545435,0.0065454545454544984
96,96,0.9636363636363636,0.9638603549620498,0.9516923565866836,0.9945177180994756,2.651111210606228,0.5462215256552806,1.9384362358728338,1.7855709891511615,1.2509083874498161,0.2403636363636364,0.03672727272727272,0.009818181818181792
97,97,0.9709090909090909,0.9709090909090909,0.9503341159472638,0.9945819035578833,2.8214297290706774,0.2363327557314623,2.453620792402993,1.7432996483699799,0.8359129392459882,0.21345454545454548,0.03345454545454548,0.012000000000000033
98,98,0.9818181818181818,0.9817704822459874,0.972488038277512,0.9994200376975496,2.488760797731989,0.745172500061861,1.6645852443147255,1.4855386041107008,1.6396939616257022,0.31200000000000006,0.03890909090909091,0.013090909090909075
99,99,0.96,0.9605788160926105,0.9560577526679221,0.9938010043942247,2.1528055634924237,-0.6106630338049903,1.711026472066134,3.239697625220382,2.1066093567902544,0.2545454545454545,0.042909090909090876,0.012727272727272676
100,100,0.9781818181818182,0.9784793388429751,0.9793047764745878,0.9982151963284039,2.51219124389871,0.15630687387139547,1.9119940666190598,1.9922315232501917,1.5865910789044941,0.24654545454545454,0.039999999999999966,0.015272727272727238
101,101,0.9745454545454545,0.9744597859404237,0.9574363992172211,0.9988584474885845,2.346364251919247,0.10982502469141403,1.3780095493662674,2.915574072455363,1.555065023031179,0.28872727272727267,0.02109090909090903,-0.009454545454545516
102,102,0.9818181818181818,0.9820115034013475,0.9814160055191445,0.9956019317005864,2.5619682241689543,0.6733167521398973,1.9863827845362847,0.8603258382319349,2.1840820703925234,0.2570909090909091,0.0229090909090909,0.011636363636363622
