,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_temperature_scaled
94,94,0.9890909090909091,0.9890551205745309,0.9801625623692258,0.9993561886367294,1.627889339311814,2.475187497612385,2.8421512101357562,0.461742973869448,1.5875546013618491,0.2581818181818182,0.03309090909090913,0.026909090909090928
95,95,0.9818181818181818,0.9818793736789181,0.975,0.9982644628099173,1.7129039775036823,2.3305140016500068,1.9659282381804808,1.5132991393523063,1.1685188504725457,0.2636363636363636,0.03127272727272725,0.02654545454545454
96,96,0.9818181818181818,0.9818748867247713,0.9758461782933419,0.9958684252343873,2.207625896280716,2.39033054860434,1.9779907056803891,1.215035397258765,1.3544763986320525,0.2574545454545455,0.03963636363636362,0.025090909090909073
97,97,0.9890909090909091,0.9891339111738224,0.985371139606285,0.9992775871410511,1.7861137410736831,2.112096111120391,2.972643796576146,1.4032998835462378,0.646416254487495,0.2290909090909091,0.02436363636363641,0.03236363636363641
98,98,1.0,1.0,1.0,1.0,1.126416323433816,2.3424954460224363,2.9917202750774026,1.0287101841219461,1.4126748522392643,0.3029090909090909,0.05963636363636363,0.03963636363636362
99,99,0.96,0.9596161919040479,0.9314187068424357,0.9945072190834903,1.9779515708707633,2.4454876955816385,2.236926523616805,1.2693740821164863,1.6319774588600664,0.2567272727272727,0.0225454545454545,0.01599999999999997
100,100,0.9927272727272727,0.9927781586605116,0.9954954954954955,0.9996600373958865,1.8339012050849344,2.518466484930736,2.547105438552362,0.8111690179419657,1.417484001474756,0.24909090909090903,0.04036363636363631,0.0294545454545454
101,101,0.9963636363636363,0.9963513979914892,0.9910714285714286,0.9996738421395955,1.3334656516721586,1.9701609919791079,2.2602955798721105,2.1169508598634295,1.5204652259528186,0.2843636363636363,0.028727272727272702,0.018909090909090896
102,102,0.9927272727272727,0.9927795033455411,0.9955156950672646,0.9991376336667817,1.7405489072293283,2.698054850896073,2.6952892988536186,0.7733115775489474,1.2638099284263125,0.25490909090909086,0.02690909090909086,0.024727272727272688
103,103,0.9745454545454545,0.9744640407069193,0.9586047989829969,0.9965040521214048,1.367271570399484,2.0358630814500165,2.3294085624772225,1.7580600411780147,1.7297591294154884,0.24618181818181814,0.03781818181818174,0.03272727272727265
104,104,0.9854545454545455,0.9855537190082646,0.9839534104239986,0.9982403217697335,1.7390643246044049,1.4960224991910607,2.704936611841047,1.5356816882263888,1.3318895207452806,0.26181818181818184,0.026909090909090928,0.016000000000000014
105,105,0.9781818181818182,0.9783231640402089,0.9730104370515329,0.9978799739073712,1.488857421174531,2.612926814886471,2.5080106516273757,1.626583060418127,0.9740130016629598,0.24545454545454543,0.03054545454545452,0.033454545454545424
106,106,0.9927272727272727,0.9927272727272727,0.9894668300903937,0.9995403707675808,2.5537857971598106,3.2605993024899385,2.23365778446723,0.15980202855624867,0.6614997545935928,0.26072727272727275,0.04509090909090905,0.03490909090909085
107,107,0.9745454545454545,0.9746138845227394,0.967083827014218,0.9942239336492891,1.5671020787941325,2.7770730326583495,2.294961325147977,1.1816030954269532,1.5204300507284882,0.2781818181818181,0.030181818181818133,0.023636363636363567
108,108,0.9890909090909091,0.9890593373040394,0.98152354990156,0.9996213842192943,1.6708280936657265,2.3290855917917566,2.656351126521745,0.8756423539636783,1.048295997430627,0.2861818181818182,0.03381818181818186,0.03090909090909094
109,109,0.9890909090909091,0.9889807637415837,0.9736842105263157,0.9993561886367294,1.8241928012767765,1.8584738632711002,2.2777962726268823,2.009112919141494,1.447680665562266,0.2825454545454546,0.023272727272727313,0.016363636363636424
110,110,0.9927272727272727,0.9927795033455411,0.9955156950672646,0.9993963435667471,1.4519567771961255,2.904648268241285,2.726831019646214,0.28365543381418,1.6627569257218286,0.277090909090909,0.02181818181818178,0.021818181818181792
