,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd1_scaled
77,77,0.8012872083668544,0.7902495833197786,0.7296667785798221,0.8448673829108613,1.3396448401802987,-0.20079799567054063,0.008121243415234099,2.24556344773618,2.288255911593452,0.0751407884151247,0.05583266291230894,0.06572807723250201,0.05607401448109413
78,78,0.7972646822204345,0.7864575297969992,0.7442354745233344,0.83358420999222,1.3543424220317644,-0.21662086319260765,0.09343869877942401,2.334469981822924,2.0958968884519416,0.09042638777152054,0.0660498793242156,0.07771520514883348,0.05559131134352372
79,79,0.8053097345132744,0.797301759109855,0.7488463678154189,0.8473926155828184,1.4151605629936226,-0.48874079464364883,-0.23587948691135416,2.2664169962595238,2.608539988616565,0.09831053901850366,0.06363636363636366,0.0847948511665326,0.05148833467417544
80,80,0.7996781979082864,0.7908376772520598,0.7417325476239097,0.8281717669710318,1.4286227794112962,-0.16805418216065582,0.33538060196917635,1.8814020428227733,2.243533932584787,0.0947707160096541,0.06540627514078841,0.07819790828640387,0.06259050683829444
81,81,0.8141592920353983,0.8019711145983572,0.7475277923287352,0.8606891333449742,1.154764216920243,-0.5133226047664491,-0.30746438718053526,2.483892929905562,2.9004802016625697,0.08970233306516495,0.07007240547063559,0.06564762670957365,0.054706355591311415
82,82,0.8020917135961384,0.7943673520915149,0.7535568671057509,0.8484190117754398,1.4403562365709648,-0.267208129722414,0.057507226375940676,2.4279074201585806,2.194376461102268,0.08986323411102175,0.08189863234111024,0.06950925181013676,0.060740144810941275
83,83,0.7900241351568785,0.7750634234551379,0.7185171959284873,0.8267313509966845,0.9524959996276408,-0.32909838876052283,-0.027464969749157207,2.443100125274424,2.558373604666296,0.07811745776347548,0.0659694288012872,0.0579243765084473,0.06025744167337086
84,84,0.8173773129525342,0.8120886431207064,0.7575638616187343,0.8303123222631618,1.1065568405154473,-0.2981069604568005,0.03509010075639488,2.0646760678575045,2.610857522219584,0.09935639581657285,0.0763475462590507,0.09171359613837493,0.07441673370876914
85,85,0.7972646822204345,0.7888812572742572,0.745109519217523,0.8376584240253477,0.9571549511866562,-0.20890688736268745,-0.1252287120438233,2.565198473708681,2.4348964691068735,0.08777152051488338,0.07111826226870474,0.07803700724054707,0.06460176991150443
86,86,0.8077232502011263,0.7990791634385485,0.7506512123913918,0.8365995932472042,0.7273524042372521,-0.27537369927659666,0.525427567504623,3.020235705212043,1.7714125057878547,0.09018503620273535,0.07417538213998391,0.07964601769911506,0.0683024939662108
87,87,0.8149637972646823,0.8048391498794797,0.7491351786803775,0.846242469834914,1.1556428989789527,-0.41061499762931364,0.07276711638107376,2.4137416756567283,2.4236218847550886,0.09694288012872088,0.07232502011263076,0.07964601769911506,0.07087691069991955
88,88,0.8053097345132744,0.7973454607085728,0.7493025336889387,0.8413461538461539,1.297258320640194,-0.33199260740564207,-0.08211819943677395,2.4496649982523486,2.2753043774053174,0.08809332260659697,0.07168141592920355,0.08286403861625102,0.0603378921962993
89,89,0.8012872083668544,0.7869757584411884,0.7300535475234271,0.8410104184855365,1.3902812311041999,-0.43972767565767734,0.39192515039907017,1.913058433078025,2.4274916223395224,0.0851166532582462,0.06001609010458566,0.06653258246178599,0.04465004022526151
90,90,0.8012872083668544,0.7922394846177274,0.7437433145753883,0.8397183982885313,1.5906242113642077,-0.3713621478775588,-0.10097969701873051,2.111240109863542,2.4139069631940036,0.09831053901850366,0.07168141592920355,0.07956556717618665,0.06347546259050682
91,91,0.826226870474658,0.818174191044073,0.7624736239223489,0.8446705251100259,1.401581251915313,-0.2129737774193684,0.23757131600791975,2.4146320531349965,1.6274869845331486,0.09798873692678996,0.0718423169750603,0.07996781979082856,0.06878519710378114
92,92,0.833467417538214,0.8251233676525046,0.7706349063992873,0.8754970015485521,1.2855268175124162,-0.2708451628823391,-0.3540870760639806,2.7353937416064475,2.143353632426063,0.09589702333065157,0.08157683024939659,0.07940466613032983,0.06862429605792437
93,93,0.7980691874497184,0.7882697152832198,0.7440210418270465,0.8456134348359136,1.075607088719491,-0.09495875858494787,-0.44635108596071094,2.739271372778555,2.145082129023467,0.09332260659694291,0.05325824617860016,0.09316170555108612,0.06194690265486724
