,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_humidity_scaled
62,62,0.9154411764705882,0.863905325443787,0.8856280193236714,0.8850845410628019,0.40441176470588236,0.02536764705882355,0.06727941176470575
63,63,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.8750603864734299,0.22977941176470584,-0.0022058823529411686,-0.004044117647058809
64,64,0.9117647058823529,0.8604651162790697,0.8855072463768117,0.8871376811594205,0.41286764705882356,0.0018382352941176405,0.030514705882352944
65,65,0.9154411764705882,0.8715083798882681,0.8989130434782608,0.8924516908212561,0.39154411764705865,0.0132352941176469,0.027573529411764608
66,66,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.8671497584541064,0.21139705882352944,0.0022058823529410576,-0.0022058823529413907
67,67,0.9117647058823529,0.8571428571428571,0.8801932367149758,0.8756038647342996,0.3841911764705882,0.023897058823529327,0.03860294117647067
68,68,0.8860294117647058,0.8248587570621468,0.8634057971014493,0.8942632850241546,0.3474264705882353,-0.0051470588235292825,0.024632352941176494
69,69,0.9007352941176471,0.8383233532934131,0.8665458937198067,0.8729468599033817,0.40404411764705883,0.016911764705882404,0.037867647058823506
70,70,0.9117647058823529,0.8666666666666667,0.8961352657004831,0.8858695652173912,0.4150735294117647,0.008088235294117618,0.018382352941176516
71,71,0.9117647058823529,0.8588235294117647,0.8828502415458936,0.8835748792270531,0.39669117647058816,0.0051470588235293935,0.0194852941176471
72,72,0.8970588235294118,0.8390804597701149,0.8717391304347826,0.881280193236715,0.37977941176470587,0.0007352941176469452,0.0338235294117647
73,73,0.9117647058823529,0.8588235294117647,0.8828502415458936,0.8907608695652174,0.388235294117647,0.011397058823529371,0.0415441176470589
74,74,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.8696859903381642,0.24044117647058816,-0.004779411764705865,-0.006985294117647145
75,75,0.8970588235294118,0.8390804597701149,0.8717391304347826,0.8788647342995168,0.3838235294117648,-0.008088235294117396,0.023897058823529327
76,76,0.8933823529411765,0.8323699421965318,0.866304347826087,0.8716787439613528,0.3841911764705883,-0.0055147058823528106,0.010294117647058787
77,77,0.9117647058823529,0.8588235294117647,0.8828502415458936,0.8854468599033817,0.41654411764705873,0.021323529411764852,0.0522058823529411
78,78,0.9154411764705882,0.863905325443787,0.8856280193236714,0.8897342995169081,0.4033088235294118,0.020220588235294046,0.045955882352941124
79,79,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.8684178743961352,0.24558823529411766,0.0003676470588234171,-0.010661764705882315
80,80,0.9044117647058824,0.8488372093023255,0.8772946859903381,0.8900362318840581,0.3764705882352941,0.0051470588235295045,0.04338235294117643
81,81,0.8933823529411765,0.8304093567251462,0.8636473429951691,0.8744565217391305,0.38860294117647065,-0.009191176470588203,0.013235294117647123
82,82,0.8933823529411765,0.8415300546448088,0.8795893719806764,0.8811594202898552,0.24963235294117647,0.004779411764705865,-0.0007352941176470562
83,83,0.8823529411764706,0.8241758241758241,0.8659420289855072,0.8623792270531402,0.21507352941176472,0.0003676470588234171,-0.0022058823529411686
84,84,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.8721014492753623,0.21433823529411755,0.004411764705882337,-0.0018382352941176405
85,85,0.8970588235294118,0.8409090909090909,0.8743961352657005,0.8765096618357489,0.3996323529411765,-0.00588235294117645,0.008088235294117618
86,86,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.8727053140096619,0.24264705882352933,0.006250000000000089,-0.00808823529411773
87,87,0.9007352941176471,0.8439306358381503,0.8745169082125603,0.8866545893719807,0.3941176470588236,0.004044117647058809,0.03161764705882353
