,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_humidity_scaled
93,93,0.8666666666666667,0.813953488372093,0.8466509988249119,0.9427878965922445,0.12250000000000005,0.07999999999999996,0.0033333333333334103
94,94,0.8708333333333333,0.8143712574850299,0.8459165687426558,0.9433754406580493,0.16541666666666666,0.08041666666666669,0.06874999999999998
95,95,0.8708333333333333,0.8121212121212121,0.8438601645123385,0.9471210340775559,0.17166666666666675,0.06666666666666676,0.046250000000000124
96,96,0.9,0.8695652173913043,0.8942420681551116,0.947267920094007,0.13750000000000007,0.08083333333333342,0.008750000000000036
97,97,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9439629847238542,0.17374999999999996,0.06708333333333327,-0.0029166666666665675
98,98,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9312573443008225,0.2058333333333333,0.06625000000000003,0.04125000000000001
99,99,0.8958333333333334,0.8603351955307262,0.8846944770857814,0.9405111633372503,0.14708333333333334,0.11166666666666669,-0.00666666666666671
100,100,0.7958333333333333,0.6423357664233577,0.7357520564042304,0.9483695652173912,0.14374999999999993,0.007083333333333219,0.04125000000000001
101,101,0.9125,0.8864864864864865,0.9084900117508813,0.9399236192714453,0.18999999999999995,0.07333333333333325,0.004166666666666763
102,102,0.8958333333333334,0.8633879781420765,0.888807285546416,0.9403642773207991,0.17000000000000004,0.06708333333333338,0.03833333333333322
103,103,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.944183313748531,0.19041666666666668,0.07666666666666655,-1.1102230246251565e-16
104,104,0.9083333333333333,0.8791208791208791,0.9009988249118683,0.9485898942420682,0.19874999999999998,0.07916666666666672,0.0004166666666667318
105,105,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.9426410105757932,0.15250000000000008,0.07916666666666672,0.03083333333333349
106,106,0.8833333333333333,0.8409090909090909,0.8683901292596945,0.9502056404230316,0.1779166666666666,0.0787500000000001,-0.00958333333333361
107,107,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9444036427732079,0.21583333333333332,0.0641666666666666,-1.1102230246251565e-16
108,108,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9463866039952997,0.19666666666666666,0.06541666666666657,0.005833333333333246
