,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled
96,96,0.8832684824902723,0.8571428571428571,0.9042819499341239,0.9715415019762845,0.07081712062256806,0.0778210116731517,0.08443579766536957,0.05330739299610898
97,97,0.8988326848249028,0.875,0.9188076416337285,0.9845849802371541,0.11556420233463027,0.21284046692607006,0.18560311284046693,0.16731517509727623
98,98,0.8754863813229572,0.8461538461538461,0.8934123847167326,0.9744400527009223,0.08715953307392987,0.0961089494163424,0.06653696498054473,0.02101167315175101
99,99,0.914396887159533,0.8877551020408163,0.9213109354413702,0.9762187088274046,0.034630350194552406,0.14863813229571987,0.13852140077821007,0.08754863813229574
100,100,0.8599221789883269,0.8301886792452831,0.8812911725955204,0.9361660079051384,0.2821011673151752,0.002334630350194433,-0.007392996108949501,-0.0003891050583658684
101,101,0.8793774319066148,0.8530805687203792,0.9012516469038208,0.9684453227931489,0.07003891050583655,0.05992217898832686,0.07003891050583655,0.03463035019455252
102,102,0.8599221789883269,0.8301886792452831,0.8812911725955204,0.9069828722002635,0.23190661478599217,0.0011673151750973831,-0.0015564202334631405,-0.007003891050583744
103,103,0.914396887159533,0.8910891089108911,0.9285243741765481,0.9808959156785244,0.039299610894941495,0.07859922178988332,0.10466926070038907,0.09455252918287937
104,104,0.9105058365758755,0.8866995073891626,0.925494071146245,0.9844532279314888,0.15953307392996108,0.14902723735408563,0.1501945525291829,0.1299610894941634
105,105,0.914396887159533,0.8932038834951457,0.9333333333333333,0.9776021080368907,0.05797665369649785,0.114396887159533,0.06536964980544746,0.05175097276264573
106,106,0.9299610894941635,0.9108910891089109,0.9454545454545454,0.9891304347826086,0.09377431906614797,0.17276264591439694,0.16809338521400785,0.0824902723735409
107,107,0.9182879377431906,0.8955223880597015,0.9315546772068511,0.9784584980237154,0.08482490272373544,0.15797665369649805,0.14513618677042794,0.08560311284046696
108,108,0.9260700389105059,0.9035532994923858,0.9352108036890645,0.9863636363636364,0.28443579766536964,0.20778210116731521,0.1731517509727627,0.10233463035019463
109,109,0.914396887159533,0.8932038834951457,0.9333333333333333,0.9806324110671936,0.14319066147859927,0.15992217898832684,0.13112840466926057,0.09377431906614786
110,110,0.8871595330739299,0.861244019138756,0.9073122529644269,0.9639657444005271,0.16264591439688703,0.06964980544747079,0.12373540856031129,0.10077821011673138
111,111,0.9105058365758755,0.8888888888888888,0.9303030303030303,0.988471673254282,0.15525291828793775,0.14357976653696503,0.169260700389105,0.10466926070038907
112,112,0.9260700389105059,0.9064039408866995,0.9424242424242424,0.9831357048748354,0.16186770428015573,0.17003891050583664,0.14863813229571998,0.048249027237354025
113,113,0.9182879377431906,0.8975609756097561,0.9363636363636363,0.9880764163372859,0.024902723735408472,0.13579766536964988,0.09533073929961089,0.0852140077821012
114,114,0.8949416342412452,0.8708133971291866,0.9157773386034256,0.9801712779973649,0.22295719844357975,0.13774319066147866,0.17626459143968864,0.1630350194552529
115,115,0.9299610894941635,0.9108910891089109,0.9454545454545454,0.9892621870882741,0.14396887159533067,0.14163424124513624,0.13929961089494158,0.04046692607003888
116,116,0.9182879377431906,0.8955223880597015,0.9315546772068511,0.9767457180500658,0.06848249027237352,0.1556420233463035,0.12217898832684815,0.1035019455252918
117,117,0.9260700389105059,0.9064039408866995,0.9424242424242424,0.9843214756258234,0.13968871595330734,0.15097276264591453,0.12412451361867705,0.08599221789883271
118,118,0.9182879377431906,0.8923076923076924,0.9243412384716733,0.9900527009222662,0.09844357976653695,0.12451361867704269,0.11945525291828785,0.04007782101167301
119,119,0.8599221789883269,0.8301886792452831,0.8812911725955204,0.9505928853754941,0.29649805447470823,-0.0038910505836576847,-0.0023346303501946553,-0.0023346303501946553
120,120,0.9066147859922179,0.883495145631068,0.9248682476943346,0.9853096179183135,0.10505836575875482,0.18754863813229572,0.08093385214007787,0.10700389105058361
121,121,0.8949416342412452,0.8695652173913043,0.913372859025033,0.9755599472990777,0.10661478599221785,0.08754863813229574,0.08326848249027241,0.04669260700389111
122,122,0.914396887159533,0.8921568627450981,0.9309288537549407,0.9822134387351779,0.15797665369649805,0.1529182879377432,0.06536964980544746,0.13424124513618685
123,123,0.914396887159533,0.89,0.9261198945981555,0.9824769433465086,0.09143968871595332,0.12140077821011663,0.1521400778210117,0.13035019455252905
124,124,0.9182879377431906,0.8975609756097561,0.9363636363636363,0.9801712779973649,0.10778210116731513,0.12373540856031118,0.12645914396887148,0.05330739299610876
125,125,0.9027237354085603,0.8803827751196173,0.9242424242424243,0.9855731225296442,0.1494163424124514,0.14708171206225684,0.07042801556420242,0.10272373540856028
126,126,0.8560311284046692,0.8262910798122066,0.8782608695652174,0.8757575757575758,0.169260700389105,-0.0027237354085605237,-0.003112840466926281,-0.0046692607003893105
127,127,0.9182879377431906,0.8955223880597015,0.9315546772068511,0.9835309617918313,0.06653696498054473,0.16147859922178986,0.13463035019455238,0.14357976653696503
128,128,0.9182879377431906,0.8975609756097561,0.9363636363636363,0.9814229249011858,0.11284046692606997,0.1354085603112839,0.11556420233463027,0.11595330739299603
129,129,0.9260700389105059,0.9054726368159204,0.9400197628458498,0.9894598155467721,0.14980544747081714,0.16070038910505846,0.08171206225680938,0.08171206225680938
130,130,0.867704280155642,0.8380952380952381,0.8873517786561265,0.9319499341238473,0.1731517509727627,0.0038910505836574627,0.0038910505836574627,-0.0011673151750973831
131,131,0.8599221789883269,0.8301886792452831,0.8812911725955204,0.905270092226614,0.15097276264591453,0.0003891050583658684,0.002334630350194433,-0.0027237354085604126
132,132,0.914396887159533,0.8910891089108911,0.9285243741765481,0.9841897233201582,0.024513618677042714,0.1373540856031129,0.13501945525291814,0.04280155642023331
133,133,0.9105058365758755,0.8888888888888888,0.9303030303030303,0.986429512516469,0.08949416342412453,0.18326848249027228,0.12023346303501936,0.0824902723735409
134,134,0.8949416342412452,0.8720379146919431,0.9181818181818182,0.9851119894598155,0.2116731517509728,0.1108949416342414,0.12607003891050594,0.04046692607003899
135,135,0.9066147859922179,0.8823529411764706,0.922463768115942,0.9743741765480896,0.1311284046692608,0.11673151750972754,0.1365758754863814,0.09416342412451362
136,136,0.9027237354085603,0.8717948717948718,0.9074110671936759,0.9789196310935442,0.12801556420233473,0.11322957198443573,0.12062256809338523,0.0595330739299611
137,137,0.8638132295719845,0.8356807511737089,0.886725955204216,0.9465085638998683,0.21556420233463036,0.0035019455252919274,0.003112840466925948,-0.0011673151750973831
138,138,0.9260700389105059,0.9064039408866995,0.9424242424242424,0.9918972332015811,0.040856031128404635,0.13307392996108947,0.13968871595330734,0.08638132295719847
139,139,0.8949416342412452,0.8695652173913043,0.913372859025033,0.9758893280632411,0.005836575875486361,0.15447470817120623,0.08404669260700393,0.036575875486381415
140,140,0.9221789883268483,0.9019607843137255,0.9393939393939394,0.9902503293807642,0.026070038910505855,0.13968871595330756,0.15097276264591453,0.07159533073929969
141,141,0.9221789883268483,0.9,0.9345849802371542,0.9865612648221344,0.09143968871595343,0.19299610894941632,0.15252918287937756,0.05019455252918281
