,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled
46,46,0.9027237354085603,0.8743718592964824,0.9122200263504612,0.9709486166007906,0.009338521400778177,0.19221789883268492,0.15097276264591442,0.08443579766536968
47,47,0.8249027237354085,0.7619047619047619,0.8155467720685112,0.921277997364954,0.006225680933852118,0.01945525291828787,0.02062256809338514,0.016731517509727567
48,48,0.9027237354085603,0.8756218905472637,0.9146245059288538,0.9675889328063241,0.015564202334630295,0.17042801556420228,0.13579766536964988,0.07431906614785999
49,49,0.8638132295719845,0.8341232227488151,0.8843214756258235,0.9319499341238472,0.025680933852140098,0.01634241245136192,0.014007782101167376,0.0019455252918286758
50,50,0.8988326848249028,0.8712871287128713,0.9115942028985508,0.9718050065876154,0.0035019455252918164,0.24863813229571996,0.15875486381322956,0.16186770428015562
51,51,0.8949416342412452,0.8669950738916257,0.9085638998682477,0.9638339920948616,0.00739299610894939,0.2583657587548639,0.22840466926070035,0.09805447470817119
52,52,0.8910505836575876,0.8627450980392157,0.9055335968379447,0.9595520421607378,0.0019455252918287869,0.23501945525291834,0.1887159533073931,0.13852140077821018
53,53,0.8210116731517509,0.7553191489361702,0.8101119894598156,0.9183135704874836,0.0015564202334630295,0.021011673151750898,0.017509727626459082,0.015175097276264538
54,54,0.8949416342412452,0.8669950738916257,0.9085638998682477,0.9708168642951251,0.00739299610894939,0.19182879377431916,0.16225680933852138,0.05330739299610898
55,55,0.8326848249027238,0.7794871794871795,0.8312252964426877,0.9163372859025034,0.005447470817120714,0.0311284046692607,0.029182879377431914,0.03618677042801555
56,56,0.8949416342412452,0.8656716417910447,0.9061594202898551,0.9682476943346509,0.0038910505836575737,0.2315175097276264,0.2070038910505837,0.17821011673151754
57,57,0.8093385214007782,0.7379679144385026,0.7962121212121211,0.9129776021080369,-0.0023346303501945442,0.021400778210116767,0.021011673151750898,0.015564202334630295
