,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backlow_humidity_scaled
117,117,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9231786133960047,0.2104166666666667,0.06250000000000011,0.0029166666666665675
118,118,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9264835487661576,0.2204166666666666,0.07458333333333345,-0.0033333333333332993
119,119,0.9,0.8681318681318682,0.8921856639247944,0.9382344300822563,0.1679166666666666,0.06541666666666668,0.013333333333333308
120,120,0.7083333333333334,0.38596491228070173,0.6195652173913043,0.9390423031727378,0.08666666666666667,0.05583333333333329,0.002083333333333326
121,121,0.9,0.8695652173913043,0.8942420681551116,0.9379406580493538,0.16999999999999993,0.0658333333333333,0.036666666666666736
122,122,0.8875,0.8524590163934426,0.8799941245593419,0.9385282021151587,0.1579166666666666,0.05916666666666659,0.050416666666666554
123,123,0.8791666666666667,0.8379888268156425,0.8670681551116334,0.9339012925969448,0.15249999999999997,0.0529166666666665,0.022499999999999964
124,124,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.9337544065804935,0.13541666666666663,0.057083333333333375,0.0245833333333334
125,125,0.8833333333333333,0.8478260869565217,0.8766157461809636,0.9590188014101058,0.14208333333333323,0.05249999999999999,0.027083333333333348
126,126,0.8125,0.697986577181208,0.765716803760282,0.9312573443008224,0.08041666666666669,0.06291666666666673,-0.0008333333333332416
127,127,0.8916666666666667,0.8571428571428571,0.8833725029377204,0.939997062279671,0.14166666666666672,0.05999999999999994,0.02791666666666659
128,128,0.8,0.6712328767123288,0.749412455934195,0.9245740305522915,0.09875000000000012,0.12166666666666681,0.04791666666666672
129,129,0.8208333333333333,0.7152317880794702,0.7765863689776733,0.9150998824911869,0.10666666666666669,0.04583333333333339,0.005416666666666625
130,130,0.8916666666666667,0.8586956521739131,0.8854289071680377,0.9403642773207991,0.12583333333333335,0.05958333333333343,0.05541666666666667
131,131,0.8916666666666667,0.87,0.9018801410105758,0.9392626321974147,0.23124999999999996,0.10750000000000004,0.036250000000000004
132,132,0.8166666666666667,0.7066666666666667,0.7711515863689777,0.9378672150411281,0.11291666666666667,0.05125000000000002,0.05125000000000002
133,133,0.8416666666666667,0.7654320987654321,0.8099294947121034,0.9259694477085781,0.12583333333333335,0.07250000000000001,-0.022083333333333455
134,134,0.8833333333333333,0.8390804597701149,0.8663337250293772,0.9379406580493536,0.1645833333333333,0.06125000000000003,0.04208333333333336
135,135,0.8916666666666667,0.8571428571428571,0.8833725029377204,0.9383078730904819,0.15041666666666675,0.07583333333333342,0.0029166666666667895
