,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled
39,39,0.7688888888888888,0.7570093457943925,0.7860820529584831,0.8623733246158876,0.2631111111111111,0.027999999999999914,0.09466666666666657,0.01155555555555543
40,40,0.8044444444444444,0.7105263157894737,0.7709218698921216,0.8964530892448512,0.03599999999999992,0.07866666666666655,0.08533333333333337,0.09422222222222232
41,41,0.7688888888888888,0.7319587628865979,0.7693282118339326,0.8833769205622752,0.1724444444444444,0.03022222222222204,0.03555555555555545,0.034222222222222154
42,42,0.8488888888888889,0.8,0.8319712324288984,0.8543641712978098,0.2360000000000001,0.01822222222222225,0.014222222222222136,0.033777777777777795
43,43,0.76,0.7428571428571429,0.7735371036286368,0.8730794377247466,0.26888888888888884,0.016444444444444373,0.06933333333333336,0.09822222222222221
44,44,0.8311111111111111,0.7934782608695652,0.8253105590062111,0.9017652827721477,0.2511111111111113,0.05999999999999994,0.07600000000000007,0.06044444444444441
45,45,0.8,0.7619047619047619,0.797319385420072,0.8889342922523701,0.1737777777777778,0.04222222222222227,0.06444444444444453,0.11422222222222222
46,46,0.8044444444444444,0.7634408602150538,0.7994033998038574,0.8756946714612618,0.2559999999999999,0.04888888888888898,0.052000000000000046,0.023555555555555663
47,47,0.7466666666666667,0.7135678391959799,0.7505312193527296,0.8582870219025824,0.23822222222222222,0.032888888888888856,0.040888888888888864,0.03244444444444461
48,48,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.8873814972213141,0.13822222222222225,0.024444444444444602,0.020000000000000018,0.007555555555555538
49,49,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8683393265773128,0.259111111111111,-0.03511111111111109,-0.0031111111111110645,0.05600000000000005
